Family	Ingroup0	Ingroup1	Outgroup
Hominidae	Pan_paniscus	Pan_troglodytes	Pongo_abelii
Hominidae	Pan_paniscus	Pan_troglodytes	Pongo_pygmaeus
Hominidae	Pan_paniscus	Pan_troglodytes	Gorilla_gorilla
Hominidae	Pan_paniscus	Pan_troglodytes	Homo_sapiens
Hominidae	Pan_paniscus	Gorilla_gorilla	Pongo_abelii
Hominidae	Pan_paniscus	Gorilla_gorilla	Pongo_pygmaeus
Hominidae	Pan_paniscus	Homo_sapiens	Pongo_abelii
Hominidae	Pan_paniscus	Homo_sapiens	Pongo_pygmaeus
Hominidae	Pan_troglodytes	Gorilla_gorilla	Pongo_abelii
Hominidae	Pan_troglodytes	Gorilla_gorilla	Pongo_pygmaeus
Hominidae	Pan_troglodytes	Homo_sapiens	Pongo_abelii
Hominidae	Pan_troglodytes	Homo_sapiens	Pongo_pygmaeus
Hominidae	Gorilla_gorilla	Homo_sapiens	Pongo_abelii
Hominidae	Gorilla_gorilla	Homo_sapiens	Pongo_pygmaeus
Talpidae	Galemys_pyrenaicus	Condylura_cristata	Uropsilus_soricipes
Talpidae	Galemys_pyrenaicus	Urotrichus_talpoides	Uropsilus_soricipes
Talpidae	Galemys_pyrenaicus	Urotrichus_talpoides	Condylura_cristata
Talpidae	Condylura_cristata	Urotrichus_talpoides	Uropsilus_soricipes
Talpidae	Mogera_robusta	Mogera_wogura	Galemys_pyrenaicus
Talpidae	Mogera_robusta	Mogera_wogura	Urotrichus_talpoides
Ziphiidae	Mesoplodon_ginkgodens	Mesoplodon_europaeus	Hyperoodon_ampullatus
Ziphiidae	Mesoplodon_ginkgodens	Mesoplodon_europaeus	Ziphius_cavirostris
Ziphiidae	Mesoplodon_ginkgodens	Mesoplodon_europaeus	Berardius_bairdii
Ziphiidae	Mesoplodon_ginkgodens	Berardius_bairdii	Hyperoodon_ampullatus
Ziphiidae	Mesoplodon_ginkgodens	Berardius_bairdii	Ziphius_cavirostris
Ziphiidae	Mesoplodon_ginkgodens	Mesoplodon_grayi	Hyperoodon_ampullatus
Ziphiidae	Mesoplodon_ginkgodens	Mesoplodon_grayi	Ziphius_cavirostris
Ziphiidae	Mesoplodon_ginkgodens	Mesoplodon_grayi	Berardius_bairdii
Ziphiidae	Mesoplodon_europaeus	Berardius_bairdii	Hyperoodon_ampullatus
Ziphiidae	Mesoplodon_europaeus	Berardius_bairdii	Ziphius_cavirostris
Ziphiidae	Mesoplodon_europaeus	Mesoplodon_grayi	Hyperoodon_ampullatus
Ziphiidae	Mesoplodon_europaeus	Mesoplodon_grayi	Ziphius_cavirostris
Ziphiidae	Mesoplodon_europaeus	Mesoplodon_grayi	Mesoplodon_ginkgodens
Ziphiidae	Mesoplodon_europaeus	Mesoplodon_grayi	Berardius_bairdii
Ziphiidae	Berardius_bairdii	Mesoplodon_grayi	Hyperoodon_ampullatus
Ziphiidae	Berardius_bairdii	Mesoplodon_grayi	Ziphius_cavirostris
Balaenopteridae	Balaenoptera_physalus	Balaenoptera_musculus	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_physalus	Balaenoptera_borealis	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_physalus	Balaenoptera_omurai	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_physalus	Balaenoptera_bonaerensis	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_musculus	Balaenoptera_physalus
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_musculus	Balaenoptera_bonaerensis
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_borealis	Balaenoptera_physalus
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_borealis	Balaenoptera_musculus
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_borealis	Balaenoptera_omurai
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_borealis	Balaenoptera_bonaerensis
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_omurai	Balaenoptera_physalus
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_omurai	Balaenoptera_musculus
Balaenopteridae	Balaenoptera_edeni	Balaenoptera_omurai	Balaenoptera_bonaerensis
Balaenopteridae	Balaenoptera_musculus	Balaenoptera_borealis	Balaenoptera_physalus
Balaenopteridae	Balaenoptera_musculus	Balaenoptera_borealis	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_musculus	Balaenoptera_borealis	Balaenoptera_bonaerensis
Balaenopteridae	Balaenoptera_musculus	Balaenoptera_omurai	Balaenoptera_physalus
Balaenopteridae	Balaenoptera_musculus	Balaenoptera_omurai	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_musculus	Balaenoptera_omurai	Balaenoptera_bonaerensis
Balaenopteridae	Balaenoptera_musculus	Balaenoptera_bonaerensis	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_borealis	Balaenoptera_omurai	Balaenoptera_physalus
Balaenopteridae	Balaenoptera_borealis	Balaenoptera_omurai	Balaenoptera_musculus
Balaenopteridae	Balaenoptera_borealis	Balaenoptera_omurai	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_borealis	Balaenoptera_omurai	Balaenoptera_bonaerensis
Balaenopteridae	Balaenoptera_borealis	Balaenoptera_bonaerensis	Megaptera_novaeangliae
Balaenopteridae	Balaenoptera_omurai	Balaenoptera_bonaerensis	Megaptera_novaeangliae
Cebidae	Saimiri_sciureus	Callithrix_jacchus	Saimiri_boliviensis
Cebidae	Saimiri_sciureus	Leontopithecus_rosalia	Saimiri_boliviensis
Cebidae	Saimiri_sciureus	Callithrix_pygmaea	Saimiri_boliviensis
Cebidae	Saimiri_sciureus	Callimico_goeldii	Saimiri_boliviensis
Cebidae	Saimiri_sciureus	Cebus_albifrons	Saimiri_boliviensis
Cebidae	Callithrix_penicillata	Callithrix_kuhlii	Callithrix_geoffroyi
Cebidae	Callithrix_penicillata	Callithrix_kuhlii	Callithrix_jacchus
Cebidae	Callithrix_penicillata	Callithrix_kuhlii	Leontopithecus_rosalia
Cebidae	Callithrix_penicillata	Callithrix_kuhlii	Callithrix_pygmaea
Cebidae	Callithrix_penicillata	Callithrix_kuhlii	Callimico_goeldii
Cebidae	Callithrix_penicillata	Callithrix_kuhlii	Cebus_albifrons
Cebidae	Callithrix_penicillata	Callithrix_kuhlii	Saguinus_oedipus
Cebidae	Callithrix_penicillata	Callithrix_geoffroyi	Callithrix_jacchus
Cebidae	Callithrix_penicillata	Callithrix_geoffroyi	Leontopithecus_rosalia
Cebidae	Callithrix_penicillata	Callithrix_geoffroyi	Callithrix_pygmaea
Cebidae	Callithrix_penicillata	Callithrix_geoffroyi	Callimico_goeldii
Cebidae	Callithrix_penicillata	Callithrix_geoffroyi	Cebus_albifrons
Cebidae	Callithrix_penicillata	Callithrix_jacchus	Leontopithecus_rosalia
Cebidae	Callithrix_penicillata	Callithrix_jacchus	Callithrix_pygmaea
Cebidae	Callithrix_penicillata	Callithrix_jacchus	Callimico_goeldii
Cebidae	Callithrix_penicillata	Callithrix_jacchus	Cebus_albifrons
Cebidae	Callithrix_penicillata	Leontopithecus_rosalia	Callimico_goeldii
Cebidae	Callithrix_penicillata	Leontopithecus_rosalia	Cebus_albifrons
Cebidae	Callithrix_penicillata	Callithrix_pygmaea	Leontopithecus_rosalia
Cebidae	Callithrix_penicillata	Callithrix_pygmaea	Callimico_goeldii
Cebidae	Callithrix_penicillata	Callithrix_pygmaea	Cebus_albifrons
Cebidae	Callithrix_penicillata	Saguinus_oedipus	Callithrix_jacchus
Cebidae	Callithrix_penicillata	Saguinus_oedipus	Leontopithecus_rosalia
Cebidae	Callithrix_penicillata	Saguinus_oedipus	Callithrix_pygmaea
Cebidae	Callithrix_penicillata	Saguinus_oedipus	Callimico_goeldii
Cebidae	Callithrix_penicillata	Saguinus_oedipus	Cebus_albifrons
Cebidae	Callithrix_kuhlii	Callithrix_geoffroyi	Callithrix_jacchus
Cebidae	Callithrix_kuhlii	Callithrix_geoffroyi	Leontopithecus_rosalia
Cebidae	Callithrix_kuhlii	Callithrix_geoffroyi	Callithrix_pygmaea
Cebidae	Callithrix_kuhlii	Callithrix_geoffroyi	Callimico_goeldii
Cebidae	Callithrix_kuhlii	Callithrix_geoffroyi	Cebus_albifrons
Cebidae	Callithrix_kuhlii	Callithrix_jacchus	Leontopithecus_rosalia
Cebidae	Callithrix_kuhlii	Callithrix_jacchus	Callithrix_pygmaea
Cebidae	Callithrix_kuhlii	Callithrix_jacchus	Callimico_goeldii
Cebidae	Callithrix_kuhlii	Callithrix_jacchus	Cebus_albifrons
Cebidae	Callithrix_kuhlii	Leontopithecus_rosalia	Callimico_goeldii
Cebidae	Callithrix_kuhlii	Leontopithecus_rosalia	Cebus_albifrons
Cebidae	Callithrix_kuhlii	Callithrix_pygmaea	Leontopithecus_rosalia
Cebidae	Callithrix_kuhlii	Callithrix_pygmaea	Callimico_goeldii
Cebidae	Callithrix_kuhlii	Callithrix_pygmaea	Cebus_albifrons
Cebidae	Callithrix_kuhlii	Saguinus_oedipus	Callithrix_jacchus
Cebidae	Callithrix_kuhlii	Saguinus_oedipus	Leontopithecus_rosalia
Cebidae	Callithrix_kuhlii	Saguinus_oedipus	Callithrix_pygmaea
Cebidae	Callithrix_kuhlii	Saguinus_oedipus	Callimico_goeldii
Cebidae	Callithrix_kuhlii	Saguinus_oedipus	Cebus_albifrons
Cebidae	Callithrix_geoffroyi	Callithrix_jacchus	Saimiri_sciureus
Cebidae	Callithrix_geoffroyi	Callithrix_jacchus	Leontopithecus_rosalia
Cebidae	Callithrix_geoffroyi	Callithrix_jacchus	Callithrix_pygmaea
Cebidae	Callithrix_geoffroyi	Callithrix_jacchus	Callimico_goeldii
Cebidae	Callithrix_geoffroyi	Callithrix_jacchus	Cebus_albifrons
Cebidae	Callithrix_geoffroyi	Leontopithecus_rosalia	Saimiri_sciureus
Cebidae	Callithrix_geoffroyi	Leontopithecus_rosalia	Callimico_goeldii
Cebidae	Callithrix_geoffroyi	Leontopithecus_rosalia	Cebus_albifrons
Cebidae	Callithrix_geoffroyi	Callithrix_pygmaea	Saimiri_sciureus
Cebidae	Callithrix_geoffroyi	Callithrix_pygmaea	Leontopithecus_rosalia
Cebidae	Callithrix_geoffroyi	Callithrix_pygmaea	Callimico_goeldii
Cebidae	Callithrix_geoffroyi	Callithrix_pygmaea	Cebus_albifrons
Cebidae	Callithrix_geoffroyi	Callimico_goeldii	Saimiri_sciureus
Cebidae	Callithrix_geoffroyi	Cebus_albifrons	Saimiri_sciureus
Cebidae	Callithrix_geoffroyi	Saguinus_oedipus	Saimiri_sciureus
Cebidae	Callithrix_geoffroyi	Saguinus_oedipus	Callithrix_jacchus
Cebidae	Callithrix_geoffroyi	Saguinus_oedipus	Leontopithecus_rosalia
Cebidae	Callithrix_geoffroyi	Saguinus_oedipus	Callithrix_pygmaea
Cebidae	Callithrix_geoffroyi	Saguinus_oedipus	Callimico_goeldii
Cebidae	Callithrix_geoffroyi	Saguinus_oedipus	Cebus_albifrons
Cebidae	Callithrix_jacchus	Leontopithecus_rosalia	Saimiri_sciureus
Cebidae	Callithrix_jacchus	Leontopithecus_rosalia	Saimiri_boliviensis
Cebidae	Callithrix_jacchus	Leontopithecus_rosalia	Callimico_goeldii
Cebidae	Callithrix_jacchus	Leontopithecus_rosalia	Cebus_albifrons
Cebidae	Callithrix_jacchus	Callithrix_pygmaea	Saimiri_sciureus
Cebidae	Callithrix_jacchus	Callithrix_pygmaea	Saimiri_boliviensis
Cebidae	Callithrix_jacchus	Callithrix_pygmaea	Leontopithecus_rosalia
Cebidae	Callithrix_jacchus	Callithrix_pygmaea	Callimico_goeldii
Cebidae	Callithrix_jacchus	Callithrix_pygmaea	Cebus_albifrons
Cebidae	Callithrix_jacchus	Callimico_goeldii	Saimiri_sciureus
Cebidae	Callithrix_jacchus	Callimico_goeldii	Saimiri_boliviensis
Cebidae	Callithrix_jacchus	Cebus_albifrons	Saimiri_sciureus
Cebidae	Callithrix_jacchus	Cebus_albifrons	Saimiri_boliviensis
Cebidae	Callithrix_jacchus	Saguinus_oedipus	Saimiri_sciureus
Cebidae	Callithrix_jacchus	Saguinus_oedipus	Leontopithecus_rosalia
Cebidae	Callithrix_jacchus	Saguinus_oedipus	Callithrix_pygmaea
Cebidae	Callithrix_jacchus	Saguinus_oedipus	Callimico_goeldii
Cebidae	Callithrix_jacchus	Saguinus_oedipus	Cebus_albifrons
Cebidae	Leontopithecus_rosalia	Callithrix_pygmaea	Saimiri_sciureus
Cebidae	Leontopithecus_rosalia	Callithrix_pygmaea	Saimiri_boliviensis
Cebidae	Leontopithecus_rosalia	Callithrix_pygmaea	Callimico_goeldii
Cebidae	Leontopithecus_rosalia	Callithrix_pygmaea	Cebus_albifrons
Cebidae	Leontopithecus_rosalia	Callimico_goeldii	Saimiri_sciureus
Cebidae	Leontopithecus_rosalia	Callimico_goeldii	Saimiri_boliviensis
Cebidae	Leontopithecus_rosalia	Cebus_albifrons	Saimiri_sciureus
Cebidae	Leontopithecus_rosalia	Cebus_albifrons	Saimiri_boliviensis
Cebidae	Leontopithecus_rosalia	Saguinus_oedipus	Saimiri_sciureus
Cebidae	Leontopithecus_rosalia	Saguinus_oedipus	Callimico_goeldii
Cebidae	Leontopithecus_rosalia	Saguinus_oedipus	Cebus_albifrons
Cebidae	Callithrix_pygmaea	Callimico_goeldii	Saimiri_sciureus
Cebidae	Callithrix_pygmaea	Callimico_goeldii	Saimiri_boliviensis
Cebidae	Callithrix_pygmaea	Cebus_albifrons	Saimiri_sciureus
Cebidae	Callithrix_pygmaea	Cebus_albifrons	Saimiri_boliviensis
Cebidae	Callithrix_pygmaea	Saguinus_oedipus	Saimiri_sciureus
Cebidae	Callithrix_pygmaea	Saguinus_oedipus	Leontopithecus_rosalia
Cebidae	Callithrix_pygmaea	Saguinus_oedipus	Callimico_goeldii
Cebidae	Callithrix_pygmaea	Saguinus_oedipus	Cebus_albifrons
Cebidae	Callimico_goeldii	Cebus_albifrons	Saimiri_sciureus
Cebidae	Callimico_goeldii	Cebus_albifrons	Saimiri_boliviensis
Cebidae	Callimico_goeldii	Saguinus_oedipus	Saimiri_sciureus
Cebidae	Cebus_albifrons	Saguinus_oedipus	Saimiri_sciureus
Cervidae	Ozotoceros_bezoarticus	Rusa_timorensis	Dama_dama
Cervidae	Ozotoceros_bezoarticus	Rusa_timorensis	Rucervus_duvaucelii
Cervidae	Ozotoceros_bezoarticus	Rusa_timorensis	Axis_axis
Cervidae	Ozotoceros_bezoarticus	Rusa_timorensis	Muntiacus_vuquangensis
Cervidae	Ozotoceros_bezoarticus	Rusa_timorensis	Axis_porcinus
Cervidae	Ozotoceros_bezoarticus	Rusa_timorensis	Elaphurus_davidianus
Cervidae	Ozotoceros_bezoarticus	Rusa_timorensis	Muntiacus_muntjak
