Species	AverageGrantham	KnKs	DnDs	GenerationLength_d	family.x	FractionOfNonsyn	FractionOfSyn	Gene	MedianOfAllNonsyn	MedianOfAllSyn	Order	SummOfAllGrantham	specieOrder	family.y	category	CategoryPoisson	CategoryBinomial
Apodemus speciosus	21	0.142857142857143	0.0300628416208605	554.1929125	Muridae	0.125	0.875	CytB	1	11	Rodentia	42	RODENTIA	MURIDAE	LC	0	0
Apodemus sylvaticus	21	0.0769230769230769	0.0198174204918323	626.6475	Muridae	0.0714285714285714	0.928571428571429	CytB	1	6	Rodentia	21	RODENTIA	MURIDAE	LC	0	0
Arctocephalus forsteri	45	0.166666666666667	0.0867185922300026	3285	Otariidae	0.142857142857143	0.857142857142857	CytB	2	6	Carnivora	145	CARNIVORA	OTARIIDAE	LC	0	0
Artibeus fimbriatus	21	0.0344827586206897	0.0151645206441244	1920.4777	Phyllostomidae	0.0333333333333333	0.966666666666667	CytB	1	17	Chiroptera	15	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Artibeus jamaicensis	33.5	0.04	0.0155020385011507	1920.4777	Phyllostomidae	0.0384615384615385	0.961538461538462	CytB	1	32	Chiroptera	65	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Artibeus lituratus	46	0	0.0210685110757336	1920.4777	Phyllostomidae	0	1	CytB	0	18	Chiroptera	0	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Artibeus obscurus	39.5	0.0512820512820513	0.0118722900024936	1920.4777	Phyllostomidae	0.0487804878048781	0.951219512195122	CytB	1	26	Chiroptera	67	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Artibeus planirostris	51	0.0555555555555556	0.0338534584819913	1920.4777	Phyllostomidae	0.0526315789473684	0.947368421052632	CytB	1	20	Chiroptera	81	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Avahi laniger	67.5	0.343137254901961	0.0817129875626442	3649.771875	Indriidae	0.260869565217391	0.739130434782609	CytB	7	28	Primates	475	PRIMATES	INDRIIDAE	VU	1	0
Balaena mysticetus	36.5	0.333333333333333	0.0674398642678333	18980	Balaenidae	0.25	0.75	CytB	2	3	Cetartiodactyla	42	CETARTIODACTYLA	BALAENIDAE	LC	0	0
Balaenoptera physalus	70.5	0.138095238095238	0.0665250691784387	9490	Balaenopteridae	0.121323529411765	0.878676470588235	CytB	1	4	Cetartiodactyla	58	CETARTIODACTYLA	BALAENOPTERIDAE	VU	1	0
Bandicota indica	34	0.00735294117647059	0.0190196707759015	639.631831820818	Muridae	0.0072992700729927	0.992700729927007	CytB	1	28	Rodentia	22	RODENTIA	MURIDAE	LC	0	0
