Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d
Lepus europaeus	1.11583956840214	1.14392539092373	0.0833333333333333	16	1	0.92	0.08	730
Lepus mandshuricus	0.682406165963191	3.55337051013035	0.111128048780488	80	7	0.898876404494382	0.101123595505618	1047.27668
Lepus oiostolus	0.930028679268416	1.90549276428498	0.0889328063241107	26	2	0.916666666666667	0.0833333333333333	1047.27668
Lepus sinensis	1.18469242334172	2.7121513828369	0.238095238095238	15	3	0.803571428571429	0.196428571428571	1047.27668
Lepus timidus	0.875816485425883	2.27425365309825	0.125	11	2	0.887840670859539	0.112159329140461	1047.27668
Lepus tolai	0.626634662303323	0.430256900002777	0.0714285714285714	7	1	0.933333333333333	0.0666666666666667	1047.27668
Lepus yarkandensis	1.0344233341109	1.14392539092373	0.0952380952380952	10	1	0.911067193675889	0.0889328063241107	1047.27668
Lontra longicaudis	1.1767216042354	1.56822599191317	1	1	1	0.5	0.5	3442.5583333285
Lophostoma silvicolum	1.23168946858053	6.74113786022378	0.10077519379845	54	5	0.908450704225352	0.0915492957746479	2064.27635
Loris tardigradus	1.21826712791651	3.81446621781299	0.5	3	2	0.666666666666667	0.333333333333333	2278.1475
Loxodonta africana	1.30504796739696	9.67429019976337	0.260869565217391	28	8	0.793103448275862	0.206896551724138	9125
Lutra lutra	1.59769124050925	1.27023737939017	0	9	1	0.923076923076923	0.0769230769230769	2772.962083343
Lutrogale perspicillata	0.837190597599614	0.42430060098944	0.173913043478261	6	1	0.851851851851852	0.148148148148148	3650
Lynx pardinus	1.64281380563958	0	0	3	0	1	0	1578.34
Macaca fascicularis	1.09020856327766	4.95538018744554	0.3	15	5	0.769230769230769	0.230769230769231	5076.8362
Macaca nemestrina	1.0526220533678	11.9916678529748	0.363636363636364	44	14	0.733333333333333	0.266666666666667	4015
Marmosa robinsoni	0.997779215198447	9.97779215198447	0.104211405392508	126.5	10	0.905626223091976	0.0943737769080235	568.63755
Marmosops noctivagus	0.788259943146838	1.82366129821461	0.038961038961039	67	2	0.9625	0.0375	642.840025
Martes americana	1.21306722115953	4.95934948611841	0.230769230769231	23	4	0.806451612903226	0.193548387096774	2227.96
Martes melampus	0.695648971968133	1.14392539092373	0.166666666666667	6	1	0.857142857142857	0.142857142857143	1772.805
Martes zibellina	0.911613569447055	0.911613569447055	0.2	5	1	0.833333333333333	0.166666666666667	2087.381433343
Megaloglossus woermanni	1.21774340029334	2.5093048099563	0.236111111111111	9	2	0.8	0.2	1553.79087272727
Meles meles	0.973707816093374	8.81525786011996	0.225352112676056	45	8	0.816091954022989	0.183908045977011	2161.2481
Meriones libycus	1.11818764256588	3.32596704354406	0.552777777777778	9	3	0.642857142857143	0.357142857142857	649.48035
Meriones meridianus	0.812514728594061	5.83420562799931	0.09	88	7	0.917431192660551	0.0825688073394495	608.148016666667
Meriones tamariscinus	1.14392539092373	1.59769124050925	0.0555555555555556	27	1	0.947368421052632	0.0526315789473684	608.148016666667
Mesoplodon densirostris	0.996456687110617	0.42430060098944	0.0215078630897317	11	1	0.972972972972973	0.027027027027027	6460.5
Mesoplodon europaeus	1.01397407025601	1.59769124050925	0.2	4	1	0.816666666666667	0.183333333333333	6460.5
Microcebus griseorufus	0.87937693851954	1.13851758879694	0.25	5	1	0.8	0.2	2053.5145
Microcebus lehilahytsara	1.01397407025601	0.42430060098944	0.0588235294117647	13	1	0.944444444444444	0.0555555555555556	2053.5145
Microcebus mittermeieri	2.09527167114624	3.05202575349554	0.11437908496732	13	1	0.894736842105263	0.105263157894737	2053.5145
Microcebus murinus	1.07627124128516	2.21864373307877	0.131578947368421	10	2	0.88047619047619	0.11952380952381	2053.5145
Microcebus myoxinus	1.19928889795094	1.59769124050925	0.25	6	1	0.8	0.2	2053.5145
Microcebus rufus	1.13070145170889	2.99413719808299	0.117647058823529	19	2	0.894736842105263	0.105263157894737	2053.5145
Microcebus simmonsi	0.43892469278803	0	0	3	0	1	0	2053.5145
Micromys minutus	0.441902842294699	1.27885810198166	0.230769230769231	11	2	0.8	0.2	502.66
Micronycteris megalotis	0.995327891513948	3.43431300945335	0.087719298245614	47	4	0.919354838709677	0.0806451612903226	2064.27635
Micropteropus pusillus	0.927191333652733	2.05553896037078	0.0545454545454545	15	1	0.948275862068966	0.0517241379310345	1553.79087272727
Microtus agrestis	0.657096417733647	3.12311361012758	0.140625	37	5	0.876712328767123	0.123287671232877	465.9675
Microtus arvalis	1.25736685332011	1.14392539092373	0.0333333333333333	26	1	0.967741935483871	0.032258064516129	447.605
Microtus limnophilus	0.874081033947985	3.49632413579194	0.285714285714286	13	4	0.777777777777778	0.222222222222222	373.623802083937
Microtus longicaudus	0.42430060098944	0.706286416235526	0.0784615384615385	19	1	0.925925925925926	0.0740740740740741	373.623802083937
Microtus lusitanicus	0.42430060098944	1.27290180296832	0.111111111111111	35	3	0.9	0.1	373.623802083937
Microtus miurus	0.42430060098944	0.42430060098944	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333	373.623802083937
Microtus subterraneus	0.97944616851372	1.99252659290261	0.05	41	2	0.952380952380952	0.0476190476190476	373.623802083937
Miniopterus schreibersii	1.05215513332888	5.81762779078461	0.216718713856118	24	7	0.819028797289667	0.180971202710333	1995.6986
Mogera imaizumii	0.553440889003139	0.42430060098944	0.0303030303030303	32	1	0.970588235294118	0.0294117647058824	759.185721428571
Mogera robusta	1.01099592074935	0.42430060098944	0.142857142857143	3	1	0.857142857142857	0.142857142857143	759.185721428571
Mogera wogura	0.901815762338022	3.78494422891396	0.102040816326531	48	4	0.907407407407407	0.0925925925925926	759.185721428571
Monodelphis americana	0.637789267130825	2.96611790522762	0.0740740740740741	56.5	4	0.931034482758621	0.0689655172413793	717.0425
Monodelphis domestica	0.971009482135048	3.68911210672824	0.113636363636364	40	4	0.897959183673469	0.102040816326531	717.0425
Monodelphis glirina	0.962186268726324	5.96785832376532	0.120879120879121	57	7	0.892156862745098	0.107843137254902	717.0425
Mungotictis decemlineata	0.663087587358878	0.844073338045931	0.181818181818182	6	1	0.84412955465587	0.15587044534413	2146.94685
Mus caroli	0.850247139696473	1.56822599191317	0.0606060606060606	25	2	0.942857142857143	0.0571428571428571	628.295
Mus minutoides	0.616878793921684	3.59407444565125	0.11864406779661	51	6	0.893939393939394	0.106060606060606	435.665
Mus musculus	1.01099592074935	1.56281818978638	0.136363636363636	13	2	0.875	0.125	628.295
Mustela erminea	1.14392539092373	1.14392539092373	0.166666666666667	4	1	0.857142857142857	0.142857142857143	1078.777858343
Mustela frenata	0.776111597318128	1.97570481513073	0.230769230769231	11	2	0.8125	0.1875	986.110483343
Mustela nivalis	0.667957085218247	1.26871063335282	0.111111111111111	9	2	0.897368421052632	0.102631578947368	1194.19395
Mustela sibirica	0.962656493340216	1.82446563280256	0.214285714285714	8	2	0.811764705882353	0.188235294117647	1484.792222219
Myodes glareolus	1.01099592074935	1.57418229092651	0.11451048951049	10	1	0.894736842105263	0.105263157894737	577.7512
Myodes rufocanus	0.430256900002777	0	0	11	0	1	0	433.359922223833
Myodes rutilus	2.78281345044902	1.59769124050925	0.0303030303030303	26	1	0.970588235294118	0.0294117647058824	433.359922223833
Myonycteris torquata	0.42430060098944	0	0	8	0	1	0	1553.79087272727
Myotis albescens	0.68289803734912	3.61536405825952	0.142857142857143	24	5	0.868534482758621	0.131465517241379	2106.62850416667
Myotis aurascens	0.970031760396935	7.17677848504143	0.126666666666667	51	8	0.887573964497041	0.112426035502959	2106.62850416667
Myotis brandtii	1.52191571540446	1.87639709030246	0.5	3	1	0.666666666666667	0.333333333333333	2106.62850416667
Myotis davidii	1.01099592074935	1.33591417043649	0.133333333333333	12	2	0.882352941176471	0.117647058823529	2106.62850416667
Myotis ikonnikovi	0.881424739066518	1.14392539092373	0.04	22	1	0.961538461538462	0.0384615384615385	2106.62850416667
Myotis lucifugus	0.42430060098944	0.84860120197888	0.0833333333333333	16.5	1	0.923076923076923	0.0769230769230769	4117.2
Myotis macrodactylus	0.430256900002777	0.42430060098944	0.0416666666666667	6	1	0.923076923076923	0.0769230769230769	2106.62850416667
Myotis myotis	0.474813963568891	0.706286416235526	0.1	25	1	0.909090909090909	0.0909090909090909	2847
Myotis mystacinus	0.820313855290421	0.42430060098944	0.122699386503067	5	1	0.890410136311776	0.109589863688224	2864.16
Myotis nattereri	1.08840334666901	16.3640086344632	0.209876543209877	75	13	0.824742268041237	0.175257731958763	2106.62850416667
Myotis velifer	0.682581177016838	1.33591417043649	0.107142857142857	16	2	0.903225806451613	0.0967741935483871	1579.5955
