Group.1	x
Boleophthalmus_pectinirostris	3.86347122447927
Bombina_bombina	4.5610548871156
Bombina_maxima	9.14801280531874
Bombina_variegata	3.17042177679463
Boops_boops	1.40119685624673
Bos_frontalis	7.13161685277459
Bos_grunniens	7.22016996757393
Bos_indicus	7.20708583704558
Bos_taurus	7.45968758553739
Brachyhypopomus_occidentalis	10.0155136675254
Brachymeles_bonitae	4.61388233724701
Brachymeles_boulengeri	2.21692286861278
Brachymeles_gracilis	2.5821616021802
Brachymeles_schadenbergi	4.28182811898666
Brachymystax_lenok	14.3065321943609
Brachyphylla_cavernarum	17.8553964833081
Branchiostoma_belcheri	4.81812166863114
Branchiostoma_floridae	3.74978121409736
Branchiostoma_lanceolatum	6.62207682583315
Brienomyrus_sp	2.57517239000204
Bronchocela_cristatella	4.95309531018832
Brotogeris_cyanoptera	4.37112032024926
Bubalus_bubalis	3.95502788872512
Buergeria_buergeri	4.72266324628816
Bungarus_candidus	4.1963250746965
Cacajao_calvus	4.90795885925015
Caiman_crocodilus	17.7096125264013
Calliope_calliope	5.30892451606374
Callisaurus_draconoides	3.26171592713982
Callosciurus_erythraeus	4.97469438181559
Calomys_callosus	8.05698148508786
Calomys_expulsus	2.81765189159718
Calotes_versicolor	6.81598092196651
Camelus_bactrianus	13.302353967906
Camelus_dromedarius	10.1561870734794
Campethera_caroli	9.97778935599506
Campethera_nivosa	0.642114702603778
Campostoma_anomalum	1.64685685976029
Campostoma_oligolepis	4.11308753657766
Campostoma_ornatum	3.62640516267328
Campylomormyrus_compressirostris	7.53303262891823
Campylomormyrus_numenius	10.1353415324245
Candidia_barbatus	3.75705939934468
Canis_aureus	4.66263577577597
Canis_latrans	8.13404541079403
Canis_lupus	3.2754433922711
Canis_lupus_familiaris	3.77306638156416
Capra_aegagrus	3.45011273220316
Capra_hircus	5.72104785889615
Capra_sibirica	3.7118951970904
Capreolus_capreolus	3.9777127424562
Capreolus_pygargus	7.00170066372988
Carasobarbus_fritschii	4.68945015976421
Carassius_auratus	4.52863502317723
Carassius_auratus_auratus	5.14222605499488
Carassius_gibelio	4.72379110848793
Carcharhinus_obscurus	10.9023077174092
Cardinalis_cardinalis	4.67758913009934
Carollia_brevicauda	5.32797412314868
Carollia_castanea	4.18968007261436
Carollia_perspicillata	5.37706159408993
Carollia_sowelli	6.38008109679362
Carpiodes_carpio	2.51428754144541
Carpiodes_cyprinus	3.71840374702616
Carpodacus_erythrinus	0.562432912833936
Catharus_frantzii	1.57860975353552
Catharus_guttatus	4.21171426654134
Catharus_minimus	10.3959974794664
Catharus_ustulatus	1.66209752186089
Cathorops_mapale	4.36294112401512
Cathorops_wayuu	9.38703097545492
Catopuma_temminckii	4.45077217089908
Cavia_aperea	4.48818877228128
Cavia_porcellus	22.30657510646
Cebus_capucinus	6.25165589083162
Centromochlus_existimatus	9.21247562046452
Cercococcyx_montanus	10.6761251567807
Cercopithecus_albogularis	8.93934118819958
Certhia_americana	5.83084133484265
Certhia_familiaris	3.94760078240313
Cervus_elaphus	4.897382823793
Ceyx_lepidus	5.93662210314232
Chaenocephalus_aceratus	9.9145099670995
Chaenodraco_wilsoni	8.50906538762035
Chaenogobius_annularis	5.75528814598988
Chaetodipus_intermedius	5.44757354198513
Chamaeleo_chamaeleon	7.58550123164814
Channa_marulius	15.558351944908
Channa_striata	9.72736134170152
Cheirogaleus_crossleyi	4.53945687850057
Cheirogaleus_major	3.67484633723035
Cheirogaleus_medius	4.35571897842309
Chilabothrus_inornatus	17.0950055789771
Chilabothrus_monensis	7.01907295534072
Chimarrogale_himalayica	2.28348390760097
Chionodraco_rastrospinosus	7.29553803678884
Chionomys_roberti	3.44501811913684
Chlamydosaurus_kingii	5.39418722463799
Chlamydotis_undulata	13.4333091399662
Chlorocebus_aethiops	7.93199170938587
Chlorocebus_pygerythrus	9.57234862086293
Chlorocebus_sabaeus	5.63544213883044
Chlorocebus_tantalus	7.23308615841209
Chlorocharis_emiliae	8.789439356268
Chlorophanes_spiza	0
Cichla_monoculus	6.35293620749891
Cichla_orinocensis	8.57769601682461
Cichla_pinima	4.88260232346919
Cinclodes_fuscus	3.629984588827
Cirrhinus_mrigala	2.14471413111207
Cirrhitichthys_oxycephalus	6.2902766583153
Clangula_hyemalis	5.52558757559371
Clupea_harengus	3.17678989204572
Clupea_pallasii	3.9402671181489
Cnemaspis_peninsularis	9.16712127823496
Cnemotriccus_fuscatus	4.287785903094
Cobitis_biwae	4.6530122243522
Cobitis_elongatoides	9.24241232435227
Cobitis_lutheri	1.81368452596556
Cobitis_melanoleuca_granoei	4.11056455415834
Cobitis_paludica	9.91932262691517
Cobitis_striata	4.11464049275672
Cobitis_taenia	7.89333637438145
Codoma_ornata	1.47537363234087
Coeligena_coeligena	5.3649520642248
Coeligena_torquata	6.70171730969798
Coereba_flaveola	14.4189304209887
Coilia_dussumieri	7.96699943916453
Colobus_angolensis	9.12598433052536
Colobus_guereza	11.6541217721437
Colomesus_asellus	16.9475871682036
Coluber_constrictor	4.37835648927024
Columbina_passerina	11.217236373046
Comephorus_baicalensis	1.34043115676392
Comephorus_dybowskii	1.22116648904411
Conolophus_subcristatus	6.46337053672439
Contia_tenuis	4.93624947712981
Copsychus_saularis	5.51181864249807
Corallus_hortulanus	7.70959042662103
Coregonus_albula	8.41023936918084
Coregonus_lavaretus	5.45465857905977
Coregonus_muksun	2.61220479255703
Coregonus_ussuriensis	6.52690496487301
Coreoleuciscus_splendidus	1.07658390297971
Corvus_corax	2.4862813044331
Corvus_corone	5.32708217219281
Corvus_macrorhynchos	3.71052315287099
Corydoras_sp	3.01055334212352
Coryphaena_hippurus	8.25592148303359
Cottus_asperrimus	10.5727238877745
Cottus_carolinae	2.93751581859821
Cricetus_cricetus	3.19022657500382
Crinia_georgiana	3.41733929083377
Crocidura_beatus	4.80397369511656
Crocidura_dsinezumi	4.7546853346986
Crocidura_grayi	4.61217621833192
Crocidura_monticola	8.42646636784887
Crocidura_olivieri	0.919309421427849
Crocidura_palawanensis	6.71654137334235
Crocidura_paradoxura	3.36404903790658
Crocidura_russula	7.82377726758071
Crocidura_shantungensis	4.12412837898481
Crocidura_sibirica	0.0949597868105818
Crocidura_tanakae	9.87833234538218
Crocodylus_acutus	6.84332544995121
Crocodylus_niloticus	7.70204603111166
Crotalus_aquilus	11.5910289281685
Crotalus_cerberus	5.27140515626113
Crotalus_lepidus	7.37337449536709
Crotalus_oreganus	12.8781905289874
Crotalus_pricei	7.37021693836106
Crotalus_ravus	7.54004848536941
Crotalus_triseriatus	8.04025649520957
Crotaphytus_bicinctores	3.54559658859247
Crotaphytus_collaris	4.0312442079872
Crotaphytus_nebrius	6.27938413784877
Crotaphytus_vestigium	7.49074073115239
Cryodraco_antarcticus	12.5824066869928
Cryptomys_hottentotus	8.02673986371296
Crystallaria_asprella	2.36632991866299
