Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Acrossocheilus_yunnanensis	33.4	88	0.108116883116883	27	3	0.902432575356954	0.097567424643046
Apodemus_agrarius	30.5	0	0	11	0	1	0
Arctocephalus_forsteri	60	184	0.333333333333333	4	2	0.75	0.25
Avahi_laniger	56.3571428571429	789	0.358974358974359	36	14	0.735849056603774	0.264150943396226
Balaenoptera_physalus	21	21	0.05	7	1	0.952380952380952	0.0476190476190476
Bison_bison	58	96	0.666666666666667	2	1	0.5	0.5
Bison_bonasus	85	98	0.03125	15	1	0.96969696969697	0.0303030303030303
Bison_priscus	69.5	58	0.1	8	1	0.909090909090909	0.0909090909090909
Boa_constrictor	21	21	0.166666666666667	5	1	0.857142857142857	0.142857142857143
Bos_grunniens	51	102	0.4	2	2	0.7	0.3
Bos_taurus	32.5	32	0.125	7	1	0.888888888888889	0.111111111111111
Bubalus_bubalis	40.15	79	0.181818181818182	10	2	0.846153846153846	0.153846153846154
Canis_lupus	81	21	0.0909090909090909	4	1	0.916666666666667	0.0833333333333333
Canis_lupus_familiaris	51	81	0.2	6	1	0.833333333333333	0.166666666666667
Capra_hircus	21	0	0	5	0	1	0
Capreolus_capreolus	64.5	176	0.166666666666667	11	3	0.857142857142857	0.142857142857143
Carasobarbus_fritschii	24.6666666666667	21	0.0769230769230769	10	1	0.928571428571429	0.0714285714285714
Carassius_auratus	52.75	290	0.131147540983607	55	7	0.884057971014493	0.115942028985507
Carassius_auratus_auratus	50.1428571428571	174	0.178571428571429	23	4	0.848484848484849	0.151515151515152
Catopuma_temminckii	NA	0	0	6	0	1	0
Cercopithecus_albogularis	61	735	0.363636363636364	32	12	0.733333333333333	0.266666666666667
Chaenogobius_annularis	46.2	116	0.0568181818181818	86	2	0.946236559139785	0.0537634408602151
Chamaeleo_chamaeleon	51	307	0.666666666666667	11	6.5	0.6	0.4
Cheirogaleus_crossleyi	56.5833333333333	429	0.178873611845584	61	8	0.847222222222222	0.152777777777778
Cheirogaleus_major	64.3333333333333	675	0.192307692307692	63	10	0.838709677419355	0.161290322580645
Cheirogaleus_medius	56.25	1068	0.24	94	20	0.806451612903226	0.193548387096774
Clupea_harengus	NA	0	0	10	0	1	0
Cobitis_biwae	56.5	1335	0.185185185185185	159	27	0.84375	0.15625
Cobitis_striata	57.4848484848485	717	0.15625	96	15	0.864864864864865	0.135135135135135
Colobus_guereza	47.25	159	0.285714285714286	17	4	0.777777777777778	0.222222222222222
Coregonus_lavaretus	61	0	0	9	0	1	0
Cyprinus_carpio	48.4166666666667	321	0.0778443113772455	40	5	0.927777777777778	0.0722222222222222
Eopsaltria_australis	48.4	668	0.176470588235294	81	14	0.85	0.15
Epinephelus_lanceolatus	46.7708333333333	986	0.141986126323476	144	21	0.873684210526316	0.126315789473684
Equus_caballus	22.25	21	0.166666666666667	5	1	0.857142857142857	0.142857142857143
Gadus_morhua	24	0	0	5	0	1	0
Gallus_gallus	21	21	0.291666666666667	3	1	0.75	0.25
Hapalemur_griseus	56.1666666666667	338	0.26505016722408	25	6	0.787878787878788	0.212121212121212
Imantodes_cenchoa	56.75	272	0.166666666666667	27	5	0.857142857142857	0.142857142857143
Indri_indri	66.2083333333333	137	0.354166666666667	7	2	0.727272727272727	0.272727272727273
Lepilemur_ankaranensis	60.6	125	0.384615384615385	3	1	0.705882352941177	0.294117647058824
Lepilemur_dorsalis	68.4285714285714	335	0.319148936170213	8	3	0.753424657534247	0.246575342465753
Lepilemur_edwardsi	48.7875	609	0.4	29	14	0.714285714285714	0.285714285714286
Lepilemur_mustelinus	60	60	0.148148148148148	13	1	0.866666666666667	0.133333333333333
Lepus_capensis	57.125	233	0.117647058823529	37	5	0.894736842105263	0.105263157894737
Lepus_europaeus	29	21	0.0454545454545455	17	1	0.956521739130435	0.0434782608695652
Lepus_timidus	56.2222222222222	83	0.1	10	1	0.909090909090909	0.0909090909090909
Lepus_yarkandensis	81	42	0.050125313283208	10	1	0.95	0.05
Macaca_fascicularis	59.4583333333333	641	0.3	36	9	0.769230769230769	0.230769230769231
Malaclemys_terrapin	52	0	0	2	0	1	0
Mammuthus_primigenius	70.1666666666667	0	0	43	0	1	0
Martes_zibellina	33.5	100	0.333333333333333	10	2	0.75	0.25
Mesoplodon_densirostris	46	46	0.0240274599542334	25.5	1	0.976541189307147	0.0234588106928532
Microcebus_murinus	60.2	354.5	0.196153846153846	32	6	0.836021505376344	0.163978494623656
Misgurnus_anguillicaudatus	53.5893939393939	422	0.181818181818182	117	10	0.846153846153846	0.153846153846154
Muntiacus_sp	46	135	0.166666666666667	20	3	0.857142857142857	0.142857142857143
Mus_musculus	42.2857142857143	205	0.230769230769231	22	4	0.807692307692308	0.192307692307692
Mus_musculus_musculus	60	104	0.5	4	2	0.666666666666667	0.333333333333333
Myodes_glareolus	51	166	0.1	27	3	0.909090909090909	0.0909090909090909
Nannoperca_australis	51.9583333333333	294	0.229166666666667	17	6	0.813559322033898	0.186440677966102
Ochotona_curzoniae	53.5	170	0.2188995215311	18	3	0.814814814814815	0.185185185185185
Odocoileus_virginianus	46.125	116	0.104851330203443	28	3	0.905128205128205	0.0948717948717949
Orcinus_orca	NA	0	0	3	0	1	0
Oryzias_latipes	50.2758620689655	1320	0.180673258003766	143	26	0.84688995215311	0.15311004784689
Ovis_aries	83	104	0.181818181818182	7	1	0.846153846153846	0.153846153846154
Pan_paniscus	67	132	0.285714285714286	6	2	0.777777777777778	0.222222222222222
Pan_troglodytes	66	81	0.0909090909090909	14	1	0.916666666666667	0.0833333333333333
Panthera_tigris	66.75	0	0	3	0	1	0
Pelodiscus_sinensis	71.5714285714286	208	0.118823529411765	27	3	0.892857142857143	0.107142857142857
Phoca_groenlandica	59	0	0	3	0	1	0
Physeter_catodon	58	58	0.5	2	1	0.666666666666667	0.333333333333333
Plecotus_macrobullaris	49.1666666666667	224	0.171428571428571	34	4	0.853658536585366	0.146341463414634
Prionailurus_bengalensis	29.375	79	0.115384615384615	51	2	0.896551724137931	0.103448275862069
Procyon_lotor	48.375	262	0.291666666666667	19	5	0.774193548387097	0.225806451612903
Propithecus_verreauxi	48	99	0.0845070422535211	13	1	0.922077922077922	0.0779220779220779
Protobothrops_jerdonii	49.3333333333333	120	0.13961038961039	17	2	0.8775	0.1225
Pygoscelis_adeliae	45	58	0.4	3	1	0.714285714285714	0.285714285714286
Salamandrella_keyserlingii	36.5	146	0.129032258064516	8	3	0.885714285714286	0.114285714285714
Sander_vitreus	81	81	1	1	1	0.5	0.5
Schismatogobius_ampluvinculus	45.7083333333333	79	0.354166666666667	5	2	0.727272727272727	0.272727272727273
Scleropages_formosus	58	58	0.1	7	1	0.909090909090909	0.0909090909090909
Siniperca_scherzeri	51.3636363636364	289	0.12	46	5	0.890909090909091	0.109090909090909
Sphenodon_punctatus	NA	0	0	8	0	1	0
Stenella_attenuata	58	58	0.142857142857143	7	1	0.875	0.125
Stenella_longirostris	46	0	0	5	0	1	0
Sus_scrofa	64.0416666666667	102	0.333333333333333	7	2	0.75	0.25
Symphalangus_syndactylus	89.5	98	0.0714285714285714	14	1	0.933333333333333	0.0666666666666667
Tarentola_mauritanica	56.9705882352941	1629	0.35	76	28	0.740740740740741	0.259259259259259
Tetrapturus_georgii	21	0	0	2	0	1	0
Thermophis_baileyi	58	58	0.2	4	1	0.833333333333333	0.166666666666667
Thylacinus_cynocephalus	42	23	0.1	8	1	0.888888888888889	0.111111111111111
Trachemys_scripta	60.5	652	0.292682926829268	36	11	0.773584905660377	0.226415094339623
Trimeresurus_albolabris	41	123	0.19047619047619	7	2	0.833333333333333	0.166666666666667
Tursiops_truncatus	69.5	81	0.166666666666667	8	1	0.857142857142857	0.142857142857143
Urocyon_cinereoargenteus	60.5208333333333	98	0.37468671679198	3	1	0.714285714285714	0.285714285714286
Ursus_arctos	54.4	179	0.185185185185185	19	4	0.84375	0.15625
Ursus_spelaeus	21.25	0	0	18	0	1	0
Varecia_variegata	75.5384615384615	549	0.407407407407407	23	7	0.710526315789474	0.289473684210526
Vulpes_lagopus	45.75	23	0.142857142857143	7	1	0.875	0.125
Ziphius_cavirostris	78.25	64	0.0303030303030303	19	1	0.970588235294118	0.0294117647058824
