Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Alosa_alosa	18	15	0.142857142857143	7	1	0.875	0.125
Alosa_fallax	21	21	0.125	6.5	1	0.888888888888889	0.111111111111111
Alosa_sapidissima	21	0	0	6	0	1	0
Anarhichas_lupus	21	21	0.5	2	1	0.666666666666667	0.333333333333333
Anolis_allogus	51.8333333333333	1212	0.236842105263158	108	25	0.808510638297872	0.191489361702128
Anolis_homolechis	26.3333333333333	105	0.131578947368421	34	4	0.883720930232558	0.116279069767442
Anolis_jubar	47.8461538461538	861	0.184466019417476	95	17	0.844262295081967	0.155737704918033
Anolis_sagrei	38.0333333333333	478	0.205882352941176	71	14	0.829268292682927	0.170731707317073
Ansonia_muelleri	25.9571428571428	170.5	0.25	26	6	0.8	0.2
Aphanius_anatoliae	48.2727272727273	215	0.132352941176471	14	3	0.88	0.12
Aphanius_iberus	81.4	407	0.305555555555556	1	5	0.166666666666667	0.833333333333333
Apodemus_agrarius	33.5	21	0.222222222222222	4	1	0.818181818181818	0.181818181818182
Arapaima_gigas	65	65	0.25	3	1	0.8	0.2
Arctocephalus_forsteri	31.3333333333333	36	0.0909090909090909	19	2	0.916666666666667	0.0833333333333333
Balaena_mysticetus	22	21	0.333333333333333	2	1	0.75	0.25
Balaenoptera_physalus	42	107	0.4	7	3	0.714285714285714	0.285714285714286
Bison_bonasus	21	0	0	13	0	1	0
Bison_priscus	91	83	0.25	4	1	0.8	0.2
Bos_grunniens	95	0	0	2	0	1	0
Bos_taurus	53.3333333333333	53	0.333333333333333	2	1	0.75	0.25
Brachymeles_bonitae	50.0769230769231	663	0.175	76	13	0.851063829787234	0.148936170212766
Brachymeles_boulengeri	44.1111111111111	428	0.0961538461538462	101	9	0.912280701754386	0.087719298245614
Brachymeles_gracilis	39.5	358	0.111111111111111	75	9	0.9	0.1
Brachymystax_lenok	42.75	79	0.075	39	2	0.928571428571429	0.0714285714285714
Branchiostoma_floridae	42.5	0	0	14	0	1	0
Branchiostoma_lanceolatum	32	47	0.25	6	2	0.777777777777778	0.222222222222222
Bubalus_bubalis	21	22	0.181985294117647	5	1	0.833333333333333	0.166666666666667
Canis_lupus	21	0	0	5	0	1	0
Canis_lupus_familiaris	NA	0	0	5	0	1	0
Capra_hircus	68.3333333333333	0	0	6.5	0	1	0
Capreolus_capreolus	18	36	0.067816091954023	27.5	2	0.936491935483871	0.063508064516129
Carassius_auratus	21	42	0.0483870967741935	28	1	0.953846153846154	0.0461538461538462
Carassius_gibelio	51	0	0	10	0	1	0
Catopuma_temminckii	41	0	0	6	0	1	0
Cercopithecus_albogularis	53.6666666666667	317	0.266666666666667	21	6	0.789473684210526	0.210526315789474
Chamaeleo_chamaeleon	59.3333333333333	276	0.176470588235294	27	4	0.85	0.15
Clupea_harengus	NA	0	0	6	0	1	0
Coregonus_albula	46	46	0.2	3	1	0.833333333333333	0.166666666666667
Coregonus_lavaretus	21	0	0	5	0	1	0
Coregonus_muksun	58	0	0	3	0	1	0
Coregonus_ussuriensis	24	46	0.366666666666667	3	1	0.714285714285714	0.285714285714286
Corvus_corax	21	15	0.0263157894736842	33	1	0.974358974358974	0.0256410256410256
Coryphaena_hippurus	82	76	0.166666666666667	4	1	0.857142857142857	0.142857142857143
Cuora_trifasciata	50.25	143	0.113636363636364	16	3	0.897959183673469	0.102040816326531
Cyprinus_carpio	21	21	0.142857142857143	5	1	0.875	0.125
Dendropsophus_reticulatus	35	69.5	0.266666666666667	6.5	2	0.783625730994152	0.216374269005848
Eopsaltria_australis	27.2	78	0.0677966101694915	7	1	0.936507936507937	0.0634920634920635
Equus_caballus	90.75	0	0	5	0	1	0
Eumetopias_jubatus	94.5	81	0.5	2	1	0.666666666666667	0.333333333333333
Gadus_chalcogrammus	21	21	0.2	5	1	0.833333333333333	0.166666666666667
