Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	AdultBodyMass_g	GenerationLength_d	category
58	Anas platyrhynchos	53.3333333333333	160	0.5	4	2	0.666666666666667	0.333333333333333	NA	NA	LC
59	Anas poecilorhyncha	60.5454545454545	511	1	5	8	0.5	0.5	NA	NA	LC
60	Andinoacara coeruleopunctatus	22.5	24	0.0697115384615385	20	1	0.928571428571429	0.0714285714285714	NA	NA	NA
61	Andrias davidianus	49.5	274.5	0.41640866873065	14.5	5	0.701851851851852	0.298148148148148	NA	NA	CR
62	Anguilla anguilla	51	21	0.227272727272727	5.5	1	0.811253561253561	0.188746438746439	NA	NA	NA
63	Anguilla australis_australis	21	21	0.333333333333333	3	1	0.75	0.25	NA	NA	NA
64	Anguilla australis_schmidti	21	21	0.5	2	1	0.666666666666667	0.333333333333333	NA	NA	NA
65	Anguilla bicolor_bicolor	82	143	0.142857142857143	5	1	0.875	0.125	NA	NA	NA
66	Anguilla bicolor_pacifica	82	0	0	4	0	1	0	NA	NA	NA
67	Anguilla celebesensis	51	0	0	7	0	1	0	NA	NA	NA
68	Anguilla japonica	23	23	0.25	3	1	0.8	0.2	NA	NA	NA
69	Anguilla luzonensis	60	0	0	4	0	1	0	NA	NA	NA
70	Anguilla marmorata	22	21	0.166666666666667	5	1	0.857142857142857	0.142857142857143	NA	NA	NA
71	Anguilla rostrata	57	21	0.166666666666667	7	1	0.857142857142857	0.142857142857143	NA	NA	NA
72	Anguis cephallonica	51.0363636363636	137	0.654761904761905	3	2	0.583333333333333	0.416666666666667	NA	NA	NA
73	Anguis fragilis	NA	0	0	3	0	1	0	NA	NA	NA
74	Anniella pulchra	55.5	924	0.32	50	16	0.757575757575758	0.242424242424242	NA	NA	NA
75	Anodorhynchus hyacinthinus	58	58	0.75	1	1	0.5	0.5	NA	NA	VU
76	Anolis allisoni	47.25	1226	0.311111111111111	87	26	0.76271186440678	0.23728813559322	NA	NA	NA
77	Anolis allogus	51.8333333333333	1212	0.236842105263158	108	25	0.808510638297872	0.191489361702128	NA	NA	NA
78	Anolis carolinensis	64.1428571428571	499	0.244897959183673	48	9	0.80327868852459	0.19672131147541	NA	NA	NA
79	Anolis homolechis	26.3333333333333	105	0.131578947368421	34	4	0.883720930232558	0.116279069767442	NA	NA	NA
80	Anolis jubar	47.8461538461538	861	0.184466019417476	95	17	0.844262295081967	0.155737704918033	NA	NA	NA
81	Anolis porcatus	47.3571428571429	1162	0.262135922330097	92	25	0.792307692307692	0.207692307692308	NA	NA	NA
82	Anolis sagrei	38.0333333333333	478	0.205882352941176	71	14	0.829268292682927	0.170731707317073	NA	NA	NA
83	Anourosorex squamipes	33	42	0.0555555555555556	25.5	1	0.947368421052632	0.0526315789473684	20	379.29295625	LC
84	Anser anser	56	81	0.666666666666667	2	2	0.585714285714286	0.414285714285714	NA	NA	LC
85	Anser cygnoides	27.5	53	0.416666666666667	1	1	0.5	0.5	NA	NA	NA
86	Ansonia muelleri	25.9571428571428	170.5	0.25	26	6	0.8	0.2	NA	NA	LC
87	Aotus nancymaae	NA	0	0	4	0	1	0	791.03	3047.8376	VU
88	Aphanius anatoliae	48.2727272727273	215	0.132352941176471	14	3	0.88	0.12	NA	NA	NA
89	Aphanius iberus	81.4	407	0.305555555555556	1	5	0.166666666666667	0.833333333333333	NA	NA	NA
90	Apodemus agrarius	47	42	0.2	4	1	0.833333333333333	0.166666666666667	21.11	504.40745	LC
91	Apodemus argenteus	21	21	0.0303030303030303	18	1	0.970588235294118	0.0294117647058824	15	572.56	LC
92	Apodemus chejuensis	21	42	0.2	7	2	0.833333333333333	0.166666666666667	NA	NA	NA
93	Apodemus chevrieri	34	144	0.122448979591837	44	5	0.890909090909091	0.109090909090909	32.9	554.1929125	LC
94	Apodemus draco	51	132	0.109126984126984	25	2	0.901612903225806	0.0983870967741935	22.25	554.1929125	LC
95	Apodemus flavicollis	35.5	71	0.2	9	2	0.833333333333333	0.166666666666667	31.6	513.1567	LC
96	Apodemus ilex	21	63	0.125	25	3	0.888888888888889	0.111111111111111	NA	NA	NA
97	Apodemus latronum	36.8571428571429	109	0.115384615384615	22	2	0.896551724137931	0.103448275862069	35.2	554.1929125	LC
98	Apodemus peninsulae	81	155	0.2	7	2	0.833333333333333	0.166666666666667	32.9	554.1929125	LC
99	Apodemus speciosus	21	42	0.142857142857143	11	1	0.875	0.125	43.75	554.1929125	LC
100	Apodemus sylvaticus	21	21	0.0769230769230769	6	1	0.928571428571429	0.0714285714285714	21.9	626.6475	LC
101	Apteronotus albifrons	58.1666666666667	40.5	0.0384615384615385	23.5	1	0.961481481481481	0.0385185185185185	NA	NA	NA
102	Apteryx australis	47	103	0.25	11	2	0.8	0.2	NA	NA	VU
103	Arapaima gigas	61.5	58	0.25	3	1	0.8	0.2	NA	NA	NA
104	Arctocephalus forsteri	52.6666666666667	83	0.166666666666667	12	2	0.857142857142857	0.142857142857143	101250	3285	LC
