Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	AdultBodyMass_g	GenerationLength_d	category
255	Cirrhitichthys oxycephalus	101	0	0	8	0	1	0	NA	NA	NA
256	Clangula hyemalis	64	0	0	2.5	0	1	0	NA	NA	VU
257	Clupea harengus	21.5	0	0	5	0	1	0	NA	NA	NA
258	Clupea pallasii	65	94	0.0714285714285714	10	1	0.933333333333333	0.0666666666666667	NA	NA	NA
259	Cnemaspis peninsularis	52.1	809	0.521739130434783	24	15	0.657142857142857	0.342857142857143	NA	NA	NA
260	Cnemotriccus fuscatus	47	11	0.00561797752808989	61.5	0.5	0.994444444444444	0.00555555555555556	NA	NA	LC
261	Cobitis biwae	52.7809523809523	1459.5	0.169491525423729	159.5	28.5	0.854720697903475	0.145279302096525	NA	NA	NA
262	Cobitis elongatoides	22	22	0.275	5	1	0.769230769230769	0.230769230769231	NA	NA	NA
263	Cobitis lutheri	58	0	0	4	0	1	0	NA	NA	NA
264	Cobitis melanoleuca_granoei	58	0	0	3	0	1	0	NA	NA	NA
265	Cobitis paludica	67.5833333333333	140	0.25	8	2	0.8	0.2	NA	NA	NA
266	Cobitis striata	51.2321428571428	804.5	0.171656864492366	102	16	0.853492297039986	0.146507702960014	NA	NA	NA
267	Cobitis taenia	21	21	0.333333333333333	3	1	0.75	0.25	NA	NA	NA
268	Codoma ornata	21	63	0.0625	56	3	0.941176470588235	0.0588235294117647	NA	NA	NA
269	Coeligena coeligena	43.625	58	0.102631578947368	21	1	0.904761904761905	0.0952380952380952	NA	NA	LC
270	Coeligena torquata	53.5	142	0.230769230769231	14	2	0.8125	0.1875	NA	NA	LC
271	Coereba flaveola	61.5	286	0.555555555555556	7	5	0.642857142857143	0.357142857142857	NA	NA	LC
272	Coilia dussumieri	32	32	0.45	3	1	0.666666666666667	0.333333333333333	NA	NA	NA
273	Colobus angolensis	46	104	0.333333333333333	9	3	0.75	0.25	8990.31	3864.89375	LC
274	Colobus guereza	45.9	160	0.6	4	3	0.6	0.4	9925.88	4509.575	LC
275	Colomesus asellus	67	79	0.619047619047619	2	1	0.571428571428571	0.428571428571429	NA	NA	NA
276	Coluber constrictor	52.0769230769231	288.5	0.110867275280899	63	5	0.900199174847062	0.0998008251529378	NA	NA	NA
277	Columbina passerina	29	21	0.166666666666667	2.5	1	0.845238095238095	0.154761904761905	NA	NA	LC
278	Comephorus baicalensis	21	0	0	5	0	1	0	NA	NA	NA
279	Comephorus dybowskii	21	0	0	3	0	1	0	NA	NA	NA
280	Conolophus subcristatus	42.675	67	0.307692307692308	5	2	0.764705882352941	0.235294117647059	NA	NA	NA
281	Contia tenuis	39.5	73	0.15	18	2	0.869565217391304	0.130434782608696	NA	NA	NA
282	Copsychus saularis	58	115	0.193548387096774	19	3	0.836727138097001	0.163272861902999	NA	NA	LC
283	Corallus hortulanus	83.6666666666667	102	0.0909090909090909	11	1	0.916666666666667	0.0833333333333333	NA	NA	NA
284	Coregonus albula	46	46	0.2	3	1	0.833333333333333	0.166666666666667	NA	NA	NA
285	Coregonus lavaretus	23	21	0.0666666666666667	4	1	0.9	0.1	NA	NA	NA
286	Coregonus muksun	58	0	0	3	0	1	0	NA	NA	NA
287	Coregonus ussuriensis	24	46	0.366666666666667	3	1	0.714285714285714	0.285714285714286	NA	NA	NA
288	Coreoleuciscus splendidus	22	42	0.0234967377887498	15.5	1	0.977064220183486	0.0229357798165138	NA	NA	NA
289	Corvus corax	33.375	21	0.0774225774225774	10	1	0.926355421686747	0.073644578313253	NA	NA	LC
290	Corvus corone	63.375	81	0.0833333333333333	26	1	0.923076923076923	0.0769230769230769	NA	NA	LC
291	Corvus macrorhynchos	21	21	0.125	5	1	0.888888888888889	0.111111111111111	NA	NA	LC
292	Corydoras sp	38.2208333333333	408	0.112903225806452	124	11.5	0.898550724637681	0.101449275362319	NA	NA	NA
293	Coryphaena hippurus	82	76	0.166666666666667	4	1	0.857142857142857	0.142857142857143	NA	NA	NA
294	Cottus asperrimus	21	21	0.242857142857143	5	1	0.777777777777778	0.222222222222222	NA	NA	NA
295	Cottus carolinae	30.75	22	0.0833333333333333	12	1	0.923076923076923	0.0769230769230769	NA	NA	NA
296	Cricetus cricetus	46.9166666666667	42	0.0714285714285714	9	1	0.933333333333333	0.0666666666666667	428.95	467.0175	LC
297	Crinia georgiana	48.75	0	0	4	0	1	0	NA	NA	LC
298	Crocidura beatus	48.7272727272727	146	0.125	33	3	0.888888888888889	0.111111111111111	10.55	427.67965	LC
299	Crocidura dsinezumi	58	124	0.0810810810810811	11	2	0.925	0.075	10.21	427.67965	LC
300	Crocidura grayi	55.6666666666667	123	0.136363636363636	24	3	0.88	0.12	10.7	427.67965	LC
301	Crocidura monticola	52.8717948717949	349	0.206896551724138	32	5	0.828571428571429	0.171428571428571	6.6	409.171225	LC
302	Crocidura olivieri	21	21	0.0434782608695652	23	1	0.958333333333333	0.0416666666666667	34.42	427.67965	LC
303	Crocidura palawanensis	69.5	81	0.0488095238095238	3	1	0.952380952380952	0.0476190476190476	8.15734055640314	409.171225	LC
304	Crocidura paradoxura	21	21	0.0196078431372549	51	1	0.980769230769231	0.0192307692307692	8.23	409.171225	LC
305	Crocidura russula	33.5	21	0.0344827586206897	4	1	0.96638418079096	0.0336158192090395	9.89	448.652	LC
306	Crocidura shantungensis	56.125	116	0.157894736842105	13	2	0.863636363636364	0.136363636363636	4.5	409.171225	LC
307	Crocidura sibirica	23	0	0	8	0	1	0	73	427.67965	LC
308	Crocidura tanakae	64	145	0.25	7	2	0.8	0.2	14.5	427.67965	LC
309	Crocodylus acutus	48	81	0.14651493598862	3	1	0.863636363636364	0.136363636363636	NA	NA	VU
310	Crocodylus niloticus	42.4176470588235	122.5	0.222222222222222	10	2	0.815578894723681	0.184421105276319	NA	NA	LC
311	Crotalus aquilus	51.5	254	0.4	15	6	0.714285714285714	0.285714285714286	NA	NA	NA
312	Crotalus cerberus	55.2	218	0.235294117647059	14	4	0.80952380952381	0.19047619047619	NA	NA	NA
313	Crotalus lepidus	59.1794871794872	553	0.304953560371517	33.5	9.5	0.766363636363636	0.233636363636364	NA	NA	NA
314	Crotalus oreganus	54.65	81	0.0616698292220114	31.5	2	0.941919191919192	0.0580808080808081	NA	NA	NA
315	Crotalus pricei	49.75	199	0.222222222222222	24	4	0.818181818181818	0.181818181818182	NA	NA	NA
316	Crotalus ravus	47.8333333333333	208	0.363636363636364	15	5	0.733333333333333	0.266666666666667	NA	NA	NA
317	Crotalus triseriatus	46.049043062201	363.5	0.288018433179724	46	8	0.776388888888889	0.223611111111111	NA	NA	NA
318	Crotaphytus bicinctores	58.3772727272728	268	0.153846153846154	29	6	0.866666666666667	0.133333333333333	NA	NA	NA
319	Crotaphytus collaris	61.75	390	0.136363636363636	41	6	0.88	0.12	NA	NA	NA
320	Crotaphytus nebrius	48	263	0.181818181818182	35	5	0.846153846153846	0.153846153846154	NA	NA	NA
321	Crotaphytus vestigium	54.9175824175824	239	0.179144385026738	35	4	0.846153846153846	0.153846153846154	NA	NA	NA
322	Cryodraco antarcticus	58	79	0.666666666666667	2	2	0.6	0.4	NA	NA	NA
323	Cryptomys hottentotus	49.5	495	0.20253164556962	78	10	0.831578947368421	0.168421052631579	75.13	1606.95955	LC
324	Crystallaria asprella	54.5	436	0.0982142857142857	70	8	0.910569105691057	0.0894308943089431	NA	NA	NA
325	Ctenomys pearsoni	62.9523809523809	160	0.363636363636364	12	3	0.733333333333333	0.266666666666667	212	600.93415	NT
326	Ctenomys rionegrensis	66.3333333333333	125	0.2	4	1	0.833333333333333	0.166666666666667	5.42835077619537	600.93415	EN
327	Ctenomys sp	45.95	341	0.142857142857143	51	7	0.875	0.125	NA	NA	NA
328	Ctenomys torquatus	57.3333333333333	147	1	3	3	0.5	0.5	209.49	600.93415	LC
329	Ctenopharyngodon idella	58	154	1.28571428571429	1	3	0.428571428571429	0.571428571428571	NA	NA	NA
330	Ctenotus atlas	21	63	0.2	20	3	0.833333333333333	0.166666666666667	NA	NA	NA
331	Ctenotus dux	27.625	101	0.118823529411765	15	4	0.892857142857143	0.107142857142857	NA	NA	NA
332	Ctenotus inornatus	38.5	251	0.1	64	7	0.909090909090909	0.0909090909090909	NA	NA	NA
333	Ctenotus leonhardii	30.7142857142857	230	0.0818181818181818	100	7	0.92436974789916	0.0756302521008403	NA	NA	NA
334	Ctenotus pantherinus	41.6666666666667	123	0.0666666666666667	30	3	0.9375	0.0625	NA	NA	NA
335	Ctenotus piankai	32.1818181818182	223	0.0736842105263158	94	7	0.931372549019608	0.0686274509803922	NA	NA	NA
336	Ctenotus quattuordecimlineatus	34.1111111111111	168	0.0727272727272727	104	5	0.932203389830508	0.0677966101694915	NA	NA	NA
337	Culaea inconstans	90.5	0	0	7	0	1	0	NA	NA	NA
338	Culter alburnus	60.925	21	0.25	4	1	0.8	0.2	NA	NA	NA
339	Cuora trifasciata	48.4166666666667	276	0.183098591549296	28	6	0.845238095238095	0.154761904761905	NA	NA	NA
340	Cyanopica cyanus	58	32	0.186440677966102	7	1	0.839795918367347	0.160204081632653	NA	NA	LC
341	Cyclarhis gujanensis	54.2083333333333	650	0.194029850746269	43	11	0.8375	0.1625	NA	NA	LC
342	Cynomys ludovicianus	61.3333333333333	167	0.5	5	3	0.654761904761905	0.345238095238095	797.05	1567.7682	LC
343	Cynomys mexicanus	58	50.5	0.5	2	1	0.666666666666667	0.333333333333333	899.98	1567.7682	EN
344	Cynops ensicauda	39.55	237	0.289408866995074	12	5	0.773333333333333	0.226666666666667	NA	NA	EN
345	Cynops pyrrhogaster	36.8333333333333	442	0.215384615384615	63	13	0.822784810126582	0.177215189873418	NA	NA	LC
346	Cynopterus brachyotis	23	36	0.215384615384615	6	1	0.8125	0.1875	33.87	1287.664	LC
347	Cynopterus sp	32.4	147	0.08	52	4	0.925925925925926	0.0740740740740741	NA	NA	NA
348	Cynopterus sphinx	29.6666666666667	89	0.12	23	3	0.892857142857143	0.107142857142857	44.71	1285.2527	LC
349	Cyprinella caerulea	41.5	95	0.333333333333333	6	3	0.730769230769231	0.269230769230769	NA	NA	NA
350	Cyprinella lepida	44.55	561	0.138409961685824	107	13	0.878418329637842	0.121581670362158	NA	NA	NA
351	Cyprinella lutrensis	36.4	207	0.065194292653309	116	6	0.938795986622074	0.0612040133779264	NA	NA	NA
352	Cyprinella venusta	37.6666666666667	194	0.0789473684210526	71	5	0.926829268292683	0.0731707317073171	NA	NA	NA
353	Cyprinodon variegatus	43.5	63	0.142857142857143	14	2.5	0.857142857142857	0.142857142857143	NA	NA	NA
354	Cyprinus carpio	43.0625	43	0.102564102564103	6	1	0.9	0.1	NA	NA	NA
355	Danio rerio	21	126	0.115384615384615	49	6	0.896551724137931	0.103448275862069	NA	NA	NA
356	Dasypus novemcinctus	40	56	0.2	5	1	0.833333333333333	0.166666666666667	3949.01	1825	LC
357	Deinagkistrodon acutus	47.9166666666667	211	0.333333333333333	17	4	0.75	0.25	NA	NA	NA
358	Delphinus delphis	21	0	0	7	0	1	0	79271.69	3545.59095	LC
359	Deltamys kempi	21	57	0.235294117647059	15	3	0.80952380952381	0.19047619047619	26.4	589.388299099621	LC
360	Dendrocopos major	22	22	0.25	2	1	0.708333333333333	0.291666666666667	NA	NA	LC
361	Dendropsophus reticulatus	35	69.5	0.266666666666667	6.5	2	0.783625730994152	0.216374269005848	NA	NA	NA
362	Desmodus rotundus	50.6538461538462	807	0.52	48	17	0.657894736842105	0.342105263157895	33.16	2779.7975	LC
363	Desmognathus fuscus	55.1052631578947	684	0.202898550724638	57	11	0.831325301204819	0.168674698795181	NA	NA	LC
364	Diadophis punctatus	44.9333333333334	422	0.172413793103448	57	9	0.852941176470588	0.147058823529412	NA	NA	NA
365	Dicamptodon tenebrosus	51	56	0.0833333333333333	14	1	0.923076923076923	0.0769230769230769	NA	NA	LC
366	Dicrurus forficatus	21	21	0.1	2	1	0.833333333333333	0.166666666666667	NA	NA	LC
367	Diodon holocanthus	58	0	0	5.5	0	1	0	NA	NA	NA
368	Diplodus vulgaris	21	0	0	4	0	1	0	NA	NA	LC
369	Diplomystes nahuelbutaensis	21	0	0	25	0	1	0	NA	NA	NA
370	Dipodillus campestris	42.3388888888889	116	0.1	18	2	0.909090909090909	0.0909090909090909	NA	NA	NA
371	Diptychus maculatus	28.5	137	0.13953488372093	38	5	0.877551020408163	0.122448979591837	NA	NA	NA
372	Dolloidraco longedorsalis	58	15	0.25	2	1	0.666666666666667	0.333333333333333	NA	NA	NA
373	Doryrhamphus excisus	21	21	0.027027027027027	34	1	0.973684210526316	0.0263157894736842	NA	NA	NA
374	Drymarchon couperi	111.25	164	0.133333333333333	13.5	1	0.878676470588235	0.121323529411765	NA	NA	NA
375	Dryomys nitedula	41	246	0.0659340659340659	88	6	0.938144329896907	0.0618556701030928	29.5	879.124225	LC
376	Echinotriton andersoni	51	58	0.12390350877193	11	1	0.888888888888889	0.111111111111111	NA	NA	EN
377	Ectopistes migratorius	53	0	0	2	0	1	0	NA	NA	EX
378	Eidolon dupreanum	58	58	0.181818181818182	8	1	0.846153846153846	0.153846153846154	297.58	2190	VU
379	Eidolon helvum	58	0	0	6	0	1	0	254.61	1825	NT
380	Elaphe quadrivirgata	21	42	0.3125	8	2	0.761904761904762	0.238095238095238	NA	NA	NA
381	Elassoma zonatum	44.6153846153846	599	0.14018691588785	96	14	0.877049180327869	0.122950819672131	NA	NA	NA
382	Elephas maximus	36.4	44	0.25	9	2	0.8	0.2	3269794	8030	EN
383	Eleutheronema tetradactylum	58	58	0.25	2	1	0.775	0.225	NA	NA	NA
384	Elgaria multicarinata	46.3333333333333	139	0.142857142857143	24	3	0.875	0.125	NA	NA	NA
385	Elopichthys bambusa	77	271.5	2	1	4	0.236111111111111	0.763888888888889	NA	NA	NA
386	Empidonax difficilis	76.75	64	0.166666666666667	1	1	0.583333333333333	0.416666666666667	NA	NA	LC
387	Empidonax traillii	45	32	0.25	3	1	0.8	0.2	NA	NA	LC
388	Engraulis encrasicolus	21	21	0.0357142857142857	11	1	0.96551724137931	0.0344827586206897	NA	NA	NA
389	Eopsaltria australis	46	132	0.121951219512195	18	3	0.890243902439024	0.109756097560976	NA	NA	LC
390	Eopsaltria griseogularis	38.5	67	1	2	2	0.5	0.5	NA	NA	LC
391	Eospalax baileyi	45.2	81	0.0740740740740741	34	2	0.931034482758621	0.0689655172413793	NA	NA	NA
392	Eospalax cansus	52	42	0.0444444444444444	23	1	0.957446808510638	0.0425531914893617	NA	NA	NA
393	Eothenomys chinensis	37.5	219	0.0652173913043478	89	6	0.938775510204082	0.0612244897959184	45.3	589.388299099621	LC
394	Eothenomys custos	21	61	0.0625	127	2	0.941176470588235	0.0588235294117647	30.8	589.388299099621	LC
395	Eothenomys melanogaster	39.5	100	0.0909090909090909	34	3	0.914285714285714	0.0857142857142857	19.59	589.388299099621	LC
396	Eothenomys miletus	21.3	63	0.0882352941176471	30	3	0.918918918918919	0.0810810810810811	46.2586120398059	589.388299099621	LC
397	Eozapus setchuanus	34.25	143	0.0816326530612245	98	5	0.924528301886792	0.0754716981132075	32.576	726.1971375	LC
398	Epinephelus coioides	64	64	0.153846153846154	7	1	0.857142857142857	0.142857142857143	NA	NA	LC
399	Epinephelus fuscoguttatus	61	83	0.133333333333333	4	1.5	0.875	0.125	NA	NA	VU
400	Epinephelus lanceolatus	46.0416666666667	290	0.116204051012753	81.5	6	0.892105263157895	0.107894736842105	NA	NA	DD
401	Epinephelus marginatus	50.5	121	0.708333333333333	3	2	0.571428571428571	0.428571428571429	NA	NA	VU
402	Epomophorus gambianus	21	0	0	8	0	1	0	134.59	2349.856740625	LC
403	Epomops buettikoferi	58	58	0.25	4	1	0.8	0.2	135.67	2349.856740625	LC
404	Epomops franqueti	81	128	0.125	8	1	0.888888888888889	0.111111111111111	118.99	2349.856740625	LC
405	Equus asinus	48	95.5	0.222222222222222	9	2	0.811738648947951	0.188261351052049	NA	NA	NA
406	Equus caballus	44.0833333333333	21	0.142857142857143	4	1	0.875	0.125	NA	NA	NA
407	Equus przewalskii	64	81	0.215384615384615	10	1	0.822916666666667	0.177083333333333	NA	NA	NA
408	Eremias argus	59.5	182	0.1	28	2	0.909090909090909	0.0909090909090909	NA	NA	NA
409	Eremias brenchleyi	47.3571428571429	740	0.2	87	16	0.833333333333333	0.166666666666667	NA	NA	NA
410	Eremias persica	51	423	0.132530120481928	70	9	0.882978723404255	0.117021276595745	NA	NA	NA
411	Eremias velox	61.0454545454545	269	0.2	17	7	0.833333333333333	0.166666666666667	NA	NA	NA
412	Eremophila alpestris	51.825	21	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333	NA	NA	LC
413	Eschrichtius robustus	48.25	46	0.5	2	1	0.666666666666667	0.333333333333333	27324024.19	10444.3345	LC
414	Esox lucius	81	81	0.166666666666667	1	1	0.666666666666667	0.333333333333333	NA	NA	NA
415	Esox reichertii	NA	0	0	3	0	1	0	NA	NA	NA
416	Etheostoma caeruleum	26.7261904761905	121	0.0958904109589041	67	4	0.9125	0.0875	NA	NA	NA
417	Etheostoma crossopterum	31	84	0.0866141732283465	20	1	0.920289855072464	0.0797101449275362	NA	NA	NA
418	Etheostoma fragi	21	21	0.2	3	1	0.833333333333333	0.166666666666667	NA	NA	NA
419	Etheostoma kantuckeense	21	84	0.115831842576029	41	4	0.895833333333333	0.104166666666667	NA	NA	NA
420	Etheostoma lawrencei	19	42	0.0769230769230769	25	2	0.928571428571429	0.0714285714285714	NA	NA	NA
421	Etheostoma nigripinne	40.3333333333333	295	0.153846153846154	100	11	0.866666666666667	0.133333333333333	NA	NA	NA
422	Etheostoma olmstedi	34.6875	121	0.103896103896104	54.5	4	0.905882352941176	0.0941176470588235	NA	NA	NA
423	Etheostoma spectabile	21	105	0.0588235294117647	82	5	0.944444444444444	0.0555555555555556	NA	NA	NA
424	Etheostoma tetrazonum	21	105	0.0789473684210526	73	5	0.926829268292683	0.0731707317073171	NA	NA	NA
425	Etheostoma uniporum	26.2857142857143	163	0.179487179487179	37	6	0.847826086956522	0.152173913043478	NA	NA	NA
426	Euchiloglanis kishinouyei	84.8571428571429	327	1	4	5	0.444444444444444	0.555555555555556	NA	NA	NA
427	Euchoreutes naso	51	0	0	9	0	1	0	24.14	726.1971375	LC
428	Eulemur rubriventer	56.5	110	0.222527472527473	12	2	0.8125	0.1875	2015.4	2920	VU
429	Eulemur rufus	40.25	114	0.21395881006865	11	3	0.821428571428571	0.178571428571429	2394.62	3206.29594444444	VU
430	Eumetopias jubatus	64.3333333333333	99	0.5	2	1	0.633333333333333	0.366666666666667	382466.7	3650	NT
431	Eumyias panayensis	53.5625	647	0.375	35	12	0.727272727272727	0.272727272727273	NA	NA	LC
432	Eurycea bislineata	55.5	132	0.263157894736842	3	2	0.666666666666667	0.333333333333333	NA	NA	LC
433	Eurycea chamberlaini	52.7333333333333	503	0.35959595959596	17	10	0.73551912568306	0.26448087431694	NA	NA	DD
434	Eurycea multiplicata	46.0666666666667	331	0.0970873786407767	89	7	0.911504424778761	0.0884955752212389	NA	NA	LC
435	Eurycea quadridigitata	61.6949152542373	1091	0.552083333333333	50	19	0.644295302013423	0.355704697986577	NA	NA	LC
436	Eurycea tynerensis	47.3636363636364	360	0.127272727272727	74	8	0.887096774193548	0.112903225806452	NA	NA	NT
437	Eurycea wilderae	60.075	460	0.315789473684211	32	8	0.76	0.24	NA	NA	LC
438	Eutropis multicarinata	45.2645502645503	1046	0.302325581395349	86	23	0.767857142857143	0.232142857142857	NA	NA	NA
439	Eutropis multifasciata	63.4333333333334	244	0.116279069767442	39	4	0.895833333333333	0.104166666666667	NA	NA	NA
440	Exocoetus monocirrhus	21	0	0	9	0	1	0	NA	NA	NA
441	Exocoetus volitans	32	0	0	6	0	1	0	NA	NA	NA
442	Falco peregrinus	155	0	0	3	0	1	0	NA	NA	LC
443	Falco tinnunculus	42.5	38	0.0909090909090909	12	1	0.894736842105263	0.105263157894737	NA	NA	LC
444	Felis catus	76.0119047619048	303	0.714285714285714	6	4	0.555555555555556	0.444444444444444	NA	NA	NA
445	Felis silvestris	47.6666666666667	46	0.150375939849624	14	1	0.863636363636364	0.136363636363636	4573.08	2905.4	LC
446	Ficedula hyperythra	63.75	58	0.181818181818182	15.5	1	0.83974358974359	0.16025641025641	NA	NA	LC
447	Forcipiger flavissimus	21	21	0.35	3.5	1	0.75	0.25	NA	NA	LC
448	Forpus passerinus	46	0	0	5	0	1	0	NA	NA	LC
449	Fringilla coelebs	40.5	246	0.212121212121212	27	5	0.825	0.175	NA	NA	LC
450	Fundulus heteroclitus	56.9583333333333	96	0.157894736842105	7	2	0.863636363636364	0.136363636363636	NA	NA	NA
451	Fundulus notatus	47.75	230	0.142684108527132	34	5	0.872727272727273	0.127272727272727	NA	NA	NA
452	Fundulus olivaceus	30.5	181	0.210526315789474	20	5	0.826086956521739	0.173913043478261	NA	NA	NA
453	Gadus chalcogrammus	56	42	0.2	5	1	0.833333333333333	0.166666666666667	NA	NA	NA
454	Gadus morhua	23	0	0	3	0	1	0	NA	NA	NA
455	Galaxias truttaceus	NA	0	0	6	0	1	0	NA	NA	NA
456	Galea musteloides	53.4	111.5	0.126760563380282	34.5	3.5	0.8875	0.1125	386.64	389.8012	DD
457	Galemys pyrenaicus	39.4166666666667	45	0.222222222222222	7	2	0.818181818181818	0.181818181818182	60.17	730	VU
458	Gallotia galloti	21	0	0	9	0	1	0	NA	NA	NA
459	Gallus gallus	58	58	0.333333333333333	2	1	0.666666666666667	0.333333333333333	NA	NA	LC
460	Gambelia sila	67.5833333333333	278	0.380952380952381	11	4	0.714285714285714	0.285714285714286	NA	NA	NA
461	Gambelia wislizenii	61.4285714285714	319	0.21875	27	5	0.82051282051282	0.179487179487179	NA	NA	NA
462	Garra orientalis	23	21	0.05	7	1	0.888888888888889	0.111111111111111	NA	NA	NA
463	Garrulax canorus	58	21	0.142857142857143	4	1	0.875	0.125	NA	NA	LC
464	Garrulax chinensis	58	58	0.0571895424836601	7	1	0.945906432748538	0.054093567251462	NA	NA	LC
465	Garrulus glandarius	39.6666666666667	96	0.4	6	2	0.714285714285714	0.285714285714286	NA	NA	LC
466	Gazella dorcas	59.6666666666667	85	0.166666666666667	10	2	0.857142857142857	0.142857142857143	15635.95	2190	VU
467	Gazella gazella	55	46	0.037037037037037	5	1	0.964285714285714	0.0357142857142857	21306.83	2190	EN
468	Gazella subgutturosa	68.3333333333333	136	0.5	3	2	0.666666666666667	0.333333333333333	26981.37	2496.146666657	VU
469	Gekko gecko	61.0769230769231	965	0.378378378378378	45	16	0.722222222222222	0.277777777777778	NA	NA	NA
470	Gekko swinhonis	52.6153846153846	659	0.119352869352869	113	13	0.893129770992366	0.106870229007634	NA	NA	NA
471	Genetta genetta	50.5	80.5	0.048783712321523	39	2	0.953485576923077	0.0465144230769231	1756.17	4194.899833343	LC
472	Genetta maculata	38.6666666666667	21	0.129166666666667	8	1	0.882352941176471	0.117647058823529	1950	2764.52	LC
473	Gerbilliscus leucogaster	47.1111111111111	337	0.168079096045198	42	7	0.855072463768116	0.144927536231884	73.75	682.2908	LC
474	Gerbillus gerbillus	69.75	0	0	13	0	1	0	26.99	951.2818	LC
475	Gerbillus henleyi	39.4	143	0.189189189189189	48	4	0.840909090909091	0.159090909090909	8	951.2818	LC
476	Gerbillus nancillus	21	21	0.0714285714285714	13	1	0.933333333333333	0.0666666666666667	40.0870922801749	951.2818	DD
477	Gerbillus nanus	45.5	203	0.0833333333333333	57	4	0.923076923076923	0.0769230769230769	25.5	951.2818	LC
478	Gerbillus pyramidum	58	58	0.1	3	1	0.909090909090909	0.0909090909090909	42.8	951.2818	LC
479	Gerbillus tarabuli	21	21	0.0909090909090909	11	1	0.916666666666667	0.0833333333333333	63.8538880368405	951.2818	LC
480	Gerrhonotus infernalis	55.3333333333333	46	0.333333333333333	3	1	0.75	0.25	NA	NA	NA
481	Gila conspersa	NA	0	0	9.5	0	1	0	NA	NA	NA
482	Gila nigrescens	54.3333333333333	21	0.2	3	1	0.8	0.2	NA	NA	NA
483	Giraffa camelopardalis	56.1	195	0.163978494623656	30	4	0.859126984126984	0.140873015873016	964654.7	5251.01166657	VU
484	Girardinus metallicus	51	81	0.208333333333333	5	1	0.827586206896552	0.172413793103448	NA	NA	NA
485	Glaucomys sabrinus	39.75	21	0.0547945205479452	3	1	0.901234567901235	0.0987654320987654	137.53	1729.4573	LC
486	Glirulus japonicus	40.8	107	0.0384615384615385	72	3	0.962962962962963	0.037037037037037	27	883.5172	LC
487	Gloydius brevicaudus	40	64	0.0714285714285714	27	1	0.933333333333333	0.0666666666666667	NA	NA	NA
488	Gloydius ussuriensis	108.5	112	0.5	1	1	0.5	0.5	NA	NA	NA
489	Glyptothorax zanaensis	45	58	0.089572192513369	21	1	0.916666666666667	0.0833333333333333	NA	NA	NA
490	Gobio gobio	50.1	215	0.25	4	2	0.8	0.2	NA	NA	NA
491	Gobiobotia brevibarba	15	0	0	5	0	1	0	NA	NA	NA
492	Gobiobotia macrocephala	21	21	0.166666666666667	5	1	0.857142857142857	0.142857142857143	NA	NA	NA
493	Gobiobotia naktongensis	19	21	0.0494505494505494	7	1	0.951219512195122	0.0487804878048781	NA	NA	NA
494	Gobiomorphus australis	50	21	0.1	5	1	0.909090909090909	0.0909090909090909	NA	NA	NA
495	Gorilla gorilla	60	0	0	2	0	1	0	112589	8030	CR
496	Gorilla gorilla_gorilla	67	84	1	1	1	0.5	0.5	NA	NA	NA
497	Gracilinanus agilis	56.9	376	0.181818181818182	35	6	0.846153846153846	0.153846153846154	22.03	642.840025	LC
498	Graomys griseoflavus	21.5	42	0.142857142857143	12	2	0.875	0.125	68.32	589.388299099621	LC
499	Gulo gulo	22	43	0.464285714285714	1	1	0.666666666666667	0.333333333333333	12792.49	2622.30185	LC
500	Gymnocypris eckloni	35	145	0.0845070422535211	67	5	0.922077922077922	0.0779220779220779	NA	NA	NA
501	Gymnocypris przewalskii	21	21	0.25	3	1	0.8	0.2	NA	NA	NA
502	Gymnocypris waddellii	21	21	0.166666666666667	4	1	0.857142857142857	0.142857142857143	NA	NA	NA
503	Gymnodiptychus dybowskii	33.2307692307692	334	0.114583333333333	94	10	0.897196261682243	0.102803738317757	NA	NA	NA
504	Gymnodiptychus pachycheilus	53.0833333333333	98	0.0617283950617284	3	1	0.941860465116279	0.0581395348837209	NA	NA	NA
505	Handleyomys alfaroi	39.5	100	0.0741758241758242	30	2	0.928571428571429	0.0714285714285714	33.3	589.388299099621	LC
506	Handleyomys chapmani	21	21	0.1	10	1	0.909090909090909	0.0909090909090909	49.995	589.388299099621	VU
507	Handleyomys rostratus	21.6666666666667	44	0.0428571428571429	28	2	0.958904109589041	0.0410958904109589	42.5	589.388299099621	LC
508	Hapalemur griseus	51.4285714285714	184.5	0.333333333333333	7	3	0.75	0.25	916	3285	VU
509	Hatcheria macraei	24.5	43	0.166666666666667	6	2	0.857142857142857	0.142857142857143	NA	NA	NA
510	Helicolenus dactylopterus	22.8333333333333	21	0.166666666666667	8	1	0.857142857142857	0.142857142857143	NA	NA	NA
511	Hemibagrus guttatus	39.5	79	0.181818181818182	11	2	0.833333333333333	0.166666666666667	NA	NA	NA
512	Hemibagrus macropterus	31	100	0.24047619047619	13	3	0.789473684210526	0.210526315789474	NA	NA	NA
513	Hemiculter leucisculus	21	21	0.0144927536231884	65	1	0.985714285714286	0.0142857142857143	NA	NA	NA
514	Hemidactylus alkiyumii	36.6	272	0.114942528735632	77	7	0.896907216494845	0.103092783505155	NA	NA	NA
515	Hemidactylus frenatus	52.5	462	0.302325581395349	45	8	0.767261904761905	0.232738095238095	NA	NA	NA
