Species	AverageGrantham	SummOfAllGrantham	KnKs	MeanOfAllSyn	MeanOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Abbottina_rivularis	24.6807477040575	188.446029691141	0.21551724137931	24	5	0.822695035460993	0.177304964539007
Abramis_brama	27.0185121722126	27.0185121722126	0.0714285714285714	4.5	1	0.933333333333333	0.0666666666666667
Abrothrix_longipilis	29.6672519208609	422.703648236647	0.171428571428571	95	15	0.853658536585366	0.146341463414634
Abrothrix_olivaceus	16.0034822091735	11.0048216705224	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333
Abudefduf_sparoides	NA	0	0	2	0	1	0
Acanthocybium_solandri	21.0009523593574	0	0	7	0	1	0
Acanthopagrus_berda	34.7013538195623	191.124923593618	0.121495327102804	46	4	0.890756302521008	0.109243697478992
Acanthorhodeus_chankaensis	21.0009523593574	42.0019047187148	0.0363636363636364	54	2	0.964912280701754	0.0350877192982456
Acanthosaura_lepidogaster	29.7929595671322	602.994374505116	0.276088929219601	76	20	0.783505154639175	0.216494845360825
Acanthurus_nigricans	21.0009523593574	21.0009523593574	0.333333333333333	2	1	0.666666666666667	0.333333333333333
Acanthurus_triostegus	30.012565701719	30.012565701719	0.0416666666666667	7	1	0.96	0.04
Acentrogobius_janthinopterus	21.0009523593574	42.0019047187148	0.181818181818182	9	2	0.846153846153846	0.153846153846154
Acheilognathus_macropterus	29.6837352589679	144.028940840868	0.107539315448659	45	6	0.90290346907994	0.0970965309200603
Acheilognathus_rhombeus	35.0035183061696	21.0009523593574	0.03125	30.5	1	0.96969696969697	0.0303030303030303
Acheilognathus_tabira	21.0009523593574	84.0038094374296	0.0614955568160333	85.5	4	0.942067287524121	0.0579327124758788
Acipenser_gueldenstaedtii	33.376628451848	84.0038094374296	0.333333333333333	8	3	0.75	0.25
Acipenser_schrenckii	23.5039134235585	105.004761796787	0.148170731707317	13	4	0.869565217391304	0.130434782608696
Acipenser_stellatus	47.0493010581888	73.0976497570202	0.142857142857143	4	1	0.854166666666667	0.145833333333333
Acomys_cahirinus	32.1279828734834	261.669945402508	0.160645161290323	75	11	0.845	0.155
Acomys_dimidiatus	15.9870697752903	15.9870697752903	0.0833333333333333	16	1	0.923076923076923	0.0769230769230769
Acritillas_indica	23.1842118611684	42.003095107182	0.480769230769231	4	2	0.666666666666667	0.333333333333333
Acrocephalus_brevipennis	51.1606254848394	28.0002660701644	0.166666666666667	2	1	0.75	0.25
Acrossocheilus_yunnanensis	23.4270584364845	66.1217741213463	0.108116883116883	27	3	0.902432575356954	0.097567424643046
Adelomyia_melanogenys	25.5067590305382	73.0641081892339	0.0752358490566038	50	3	0.930028559771522	0.0699714402284782
Aegithalos_caudatus	29.7631478890278	30.012565701719	0.222222222222222	6.5	1	0.818181818181818	0.181818181818182
Aegithalos_concinnus	22.5146519016958	67.5439557050875	0.0560796645702306	49	3	0.946428571428571	0.0535714285714286
Aethopyga_pulcherrima	26.3897243624792	209.432666906261	0.123076923076923	64	8	0.89041095890411	0.10958904109589
Agelaius_phoeniceus	30.012565701719	63.0028570780722	0.444444444444444	5.5	3	0.67948717948718	0.32051282051282
Agkistrodon_contortrix	34.8042672405434	108.674539307803	0.266666666666667	8	3	0.75	0.25
Agkistrodon_piscivorus	29.7508710980452	112.236161086044	0.18543956043956	24	4	0.836021505376344	0.163978494623656
Agonostomus_monticola	23.6061179402964	148.156894328978	0.0985915492957746	71	7	0.91025641025641	0.0897435897435897
Ailuropoda_melanoleuca	21.0009523593574	42.0019047187148	0.333333333333333	4	2	0.75	0.25
Akodon_montensis	25.3710082474739	63.0034522723058	0.214285714285714	15	3	0.823529411764706	0.176470588235294
