Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Aegithalos_caudatus	58	58	0.222222222222222	6.5	1	0.818181818181818	0.181818181818182
Aegithalos_concinnus	41.6666666666667	125	0.0560796645702306	49	3	0.946428571428571	0.0535714285714286
Aethopyga_pulcherrima	48.9444444444444	383	0.123076923076923	64	8	0.89041095890411	0.10958904109589
Agelaius_phoeniceus	39.375	63	0.444444444444444	5.5	3	0.67948717948718	0.32051282051282
Alauda_arvensis	46.8571428571429	270	0.105263157894737	55	6	0.904761904761905	0.0952380952380952
Amazona_ochrocephala	70.1428571428571	290	0.4	13	5	0.705882352941177	0.294117647058824
Amblysomus_hottentotus	40.5	204	0.126136363636364	45	5	0.887096774193548	0.112903225806452
Anabas_testudineus	47.7777777777778	92	0.5	4	2	0.666666666666667	0.333333333333333
Anas_crecca	80.6	0	0	2	0	1	0
Anas_platyrhynchos	53.3333333333333	160	0.5	4	2	0.666666666666667	0.333333333333333
Anas_poecilorhyncha	60.5454545454545	511	1	5	8	0.5	0.5
Andrias_davidianus	49.5	274.5	0.41640866873065	14.5	5	0.701851851851852	0.298148148148148
Anguis_cephallonica	51.0363636363636	137	0.654761904761905	3	2	0.583333333333333	0.416666666666667
Anguis_fragilis	NA	0	0	3	0	1	0
Anniella_pulchra	55.5	924	0.32	50	16	0.757575757575758	0.242424242424242
Anolis_allisoni	47.25	1226	0.311111111111111	87	26	0.76271186440678	0.23728813559322
Anolis_carolinensis	64.1428571428571	499	0.244897959183673	48	9	0.80327868852459	0.19672131147541
Anolis_porcatus	47.3571428571429	1162	0.262135922330097	92	25	0.792307692307692	0.207692307692308
Anourosorex_squamipes	27.5	23	0.032258064516129	17	1	0.96875	0.03125
Apodemus_agrarius	51.8333333333333	58	0.333333333333333	3	1	0.75	0.25
Arctocephalus_forsteri	46.5714285714286	203	0.368421052631579	10	5	0.730769230769231	0.269230769230769
Arremon_aurantiirostris	50.3636363636364	533	0.164179104477612	65	10	0.858974358974359	0.141025641025641
Artamus_personatus	39.5	79	0.4	6	2	0.714285714285714	0.285714285714286
Artamus_superciliosus	39.5	58	0.142857142857143	7	1	0.875	0.125
Balaenoptera_physalus	56.6	139.5	0.214285714285714	10	2.5	0.811764705882353	0.188235294117647
Basileuterus_tristriatus	56.75	81	0.0571428571428571	35	2	0.945945945945946	0.0540540540540541
Bison_bonasus	155	155	0.063508064516129	23	2	0.939393939393939	0.0606060606060606
Bison_priscus	21	15	0.183333333333333	3	1	0.833333333333333	0.166666666666667
Bos_grunniens	47.5	95	0.5	2	2	0.666666666666667	0.333333333333333
Bos_taurus	81	21	0.2	2	1	0.833333333333333	0.166666666666667
Branchiostoma_floridae	57.15	229	0.214285714285714	19	4	0.823529411764706	0.176470588235294
Bronchocela_cristatella	50.3333333333333	302	0.206896551724138	25	6	0.828571428571429	0.171428571428571
Brotogeris_cyanoptera	38.875	21	0.291666666666667	4	1	0.775	0.225
Bubalus_bubalis	63.5	0	0	3	0	1	0
Calotes_versicolor	51.5833333333333	311	0.6	11	6	0.625	0.375
Canis_lupus	21	21	0.333333333333333	3	1	0.75	0.25
Canis_lupus_familiaris	81	0	0	3	0	1	0
Capra_hircus	53.2222222222222	0	0	7	0	1	0
Capreolus_capreolus	47	181	0.131578947368421	22	4	0.883720930232558	0.116279069767442
Carassius_auratus	47.6666666666667	417	0.24	21	8	0.806451612903226	0.193548387096774
Carassius_auratus_auratus	44	181	0.25	18	5	0.8	0.2
Carassius_gibelio	59.1748148148148	212	0.234234234234234	18	3	0.81021897810219	0.18978102189781
Carcharhinus_obscurus	36	46.5	0.333333333333333	5.5	1	0.75	0.25
Cardinalis_cardinalis	61.9166666666667	176	0.127659574468085	22	2	0.886792452830189	0.113207547169811
Carpodacus_erythrinus	21	0	0	6	0	1	0
Catharus_frantzii	21	21	0.105555555555556	7	1	0.9	0.1
Catopuma_temminckii	60.25	139	0.333333333333333	7	2	0.75	0.25
Cercopithecus_albogularis	60.2	504	0.375	18	9	0.727272727272727	0.272727272727273
Certhia_americana	46.4285714285714	246	0.160028449502134	38	6	0.86046511627907	0.13953488372093
Certhia_familiaris	83	143	0.107142857142857	10	1	0.903225806451613	0.0967741935483871
Ceyx_lepidus	53.2	523	0.22	48	10	0.819672131147541	0.180327868852459
Chaenocephalus_aceratus	22	22	0.5	1	1	0.6	0.4
Chaenodraco_wilsoni	21	21	0.30952380952381	3	1	0.75	0.25
Chamaeleo_chamaeleon	65.0909090909091	553	0.375	27	9	0.725	0.275
Chionodraco_rastrospinosus	46	46	0.5	2	1	0.666666666666667	0.333333333333333
Chlamydosaurus_kingii	52.8333333333333	110.5	0.170289855072464	24.5	1.5	0.854497354497354	0.145502645502645
Clangula_hyemalis	64	0	0	2.5	0	1	0
Clupea_harengus	30.625	66	0.25	9	2	0.8	0.2
Cnemaspis_peninsularis	52.1	809	0.521739130434783	24	15	0.657142857142857	0.342857142857143
Cnemotriccus_fuscatus	47	11	0.00561797752808989	61.5	0.5	0.994444444444444	0.00555555555555556
Coeligena_coeligena	43.625	58	0.102631578947368	21	1	0.904761904761905	0.0952380952380952
Coeligena_torquata	53.5	142	0.230769230769231	14	2	0.8125	0.1875
Copsychus_saularis	58.85	411	0.405882352941176	16	7	0.708333333333333	0.291666666666667
Coregonus_lavaretus	28.5	23	0.333333333333333	3	1	0.75	0.25
Crinia_georgiana	48.75	0	0	4	0	1	0
Crocidura_beatus	53.905303030303	282	0.227272727272727	38	5.5	0.811253561253561	0.188746438746439
Crocidura_grayi	62.4	334	0.209001782531194	23	6	0.825	0.175
Crotalus_oreganus	54.65	81	0.0616698292220114	31.5	2	0.941919191919192	0.0580808080808081
Crotaphytus_bicinctores	58.3772727272728	268	0.153846153846154	29	6	0.866666666666667	0.133333333333333
Crotaphytus_collaris	61.75	390	0.136363636363636	41	6	0.88	0.12
Crotaphytus_nebrius	48	263	0.181818181818182	35	5	0.846153846153846	0.153846153846154
Crotaphytus_vestigium	54.9175824175824	239	0.179144385026738	35	4	0.846153846153846	0.153846153846154
Cryodraco_antarcticus	58	79	0.666666666666667	2	2	0.6	0.4
Culter_alburnus	65.6666666666667	155	0.5	5	2	0.666666666666667	0.333333333333333
Cyanopica_cyanus	54.2222222222222	0	0	8	0	1	0
Cyclarhis_gujanensis	54.2083333333333	650	0.194029850746269	43	11	0.8375	0.1625
Cyprinella_caerulea	41.5	95	0.333333333333333	6	3	0.730769230769231	0.269230769230769
Cyprinella_lepida	44.55	561	0.138409961685824	107	13	0.878418329637842	0.121581670362158
Cyprinella_lutrensis	46.325	496	0.163607226107226	114.5	11	0.861503613418186	0.138496386581814
Cyprinodon_variegatus	48	240	0.516666666666667	12	5	0.625	0.375
Cyprinus_carpio	52.2962962962963	228	0.231481481481481	20	4	0.81203007518797	0.18796992481203
Deinagkistrodon_acutus	47.9166666666667	211	0.333333333333333	17	4	0.75	0.25
Dendrocopos_major	22	22	0.25	2	1	0.708333333333333	0.291666666666667
Desmognathus_fuscus	55.1052631578947	684	0.202898550724638	57	11	0.831325301204819	0.168674698795181
Dolloidraco_longedorsalis	58	15	0.25	2	1	0.666666666666667	0.333333333333333
Empidonax_difficilis	76.75	64	0.166666666666667	1	1	0.583333333333333	0.416666666666667
Eopsaltria_australis	42.1666666666667	155	0.121951219512195	4	2	0.891304347826087	0.108695652173913
Eopsaltria_griseogularis	38.5	67	1	2	2	0.5	0.5
Equus_caballus	51	21	0.118055555555556	7	1	0.894444444444444	0.105555555555556
Eremophila_alpestris	51.825	21	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333
Eumyias_panayensis	53.5625	647	0.375	35	12	0.727272727272727	0.272727272727273
Eurycea_bislineata	55.5	132	0.263157894736842	3	2	0.666666666666667	0.333333333333333
Eurycea_chamberlaini	52.7333333333333	503	0.35959595959596	17	10	0.73551912568306	0.26448087431694
Eurycea_quadridigitata	61.6949152542373	1091	0.552083333333333	50	19	0.644295302013423	0.355704697986577
Eurycea_wilderae	60.075	460	0.315789473684211	32	8	0.76	0.24
Eutropis_multicarinata	45.2645502645503	1046	0.302325581395349	86	23	0.767857142857143	0.232142857142857
Eutropis_multifasciata	63.4333333333334	244	0.116279069767442	39	4	0.895833333333333	0.104166666666667
Ficedula_hyperythra	61.8333333333333	58	0.0690476190476191	15	1	0.933333333333333	0.0666666666666667
Forpus_passerinus	46	0	0	5	0	1	0
Fringilla_coelebs	40.5	246	0.212121212121212	27	5	0.825	0.175
Fundulus_heteroclitus	56.9583333333333	96	0.157894736842105	7	2	0.863636363636364	0.136363636363636
Gadus_chalcogrammus	70	0	0	4	0	1	0
Gadus_morhua	26.5	21	0.166666666666667	4	1	0.857142857142857	0.142857142857143
Gallus_gallus	75.5	104	0.666666666666667	0	2	0	1
Gambelia_sila	67.5833333333333	278	0.380952380952381	11	4	0.714285714285714	0.285714285714286
Gambelia_wislizenii	61.4285714285714	319	0.21875	27	5	0.82051282051282	0.179487179487179
Garrulax_canorus	49	22	0.2	4	1	0.833333333333333	0.166666666666667
Garrulax_chinensis	58	58	0.142857142857143	5	1	0.875	0.125
Garrulus_glandarius	39.6666666666667	96	0.4	6	2	0.714285714285714	0.285714285714286
Gekko_gecko	65.4583333333333	916	0.36	41	15	0.735294117647059	0.264705882352941
Hemidactylus_frenatus	52.5	462	0.302325581395349	45	8	0.767261904761905	0.232738095238095
Henicorhina_leucosticta	55.7302083333334	987.5	0.285244267198405	71.5	20	0.778066151617576	0.221933848382424
Heteronotia_binoei	64.3	1166.5	0.330247718383312	55.5	18	0.751768346595933	0.248231653404067
Heteropneustes_fossilis	63.34375	588	0.426666666666667	56	10	0.700934579439252	0.299065420560748
Hylophilus_ochraceiceps	51.3166666666666	516	0.1875	56	10	0.842105263157895	0.157894736842105
Ichthyophis_bannanicus	45	196	0.368421052631579	16	5	0.72	0.28
Icterus_cayanensis	83	0	0	4.5	0	1	0
Iole_propinqua	42.5	330	0.194029850746269	58	10	0.818181818181818	0.181818181818182
Iridosornis_analis	21	21	0.142857142857143	5	1	0.875	0.125
Kinyongia_fischeri	55.6101694915254	3024	0.867647058823529	60	52	0.535433070866142	0.464566929133858
Larus_dominicanus	58	116	0.875	2	2	0.5	0.5
Lepidonotothen_larseni	122	0	0	3	0	1	0
Lepidonotothen_squamifrons	73.8	308	1.25	3	4	0.444444444444444	0.555555555555556
Leucosticte_arctoa	58	58	0.5	2	1	0.666666666666667	0.333333333333333
Leucosticte_brandti	50	81	1	2	2	0.5	0.5
Leucosticte_tephrocotis	21	21	0.333333333333333	2	1	0.75	0.25
Lissotriton_italicus	58.0876623376624	659	0.333333333333333	38	11	0.75	0.25
Lissotriton_vulgaris	52.1190476190476	252	0.193548387096774	32	5	0.837286265857695	0.162713734142306
